Genotype	CL	Fix	pop$	FID$
Z002E0042	113.65429620345	1	NAMRIL	Z002
Z002E0043	133.934447580376	1	NAMRIL	Z002
Z002E0044	119.796900053404	1	NAMRIL	Z002
Z002E0045	135.576771915098	1	NAMRIL	Z002
Z002E0046	114.146185767682	1	NAMRIL	Z002
Z002E0047	139.754419413354	1	NAMRIL	Z002
Z002E0048	124.952400452975	1	NAMRIL	Z002
Z002E0049	110.031686167261	1	NAMRIL	Z002
Z002E0050	118.3395433101	1	NAMRIL	Z002
Z002E0051	116.895133699075	1	NAMRIL	Z002
Z002E0052	138.536306808336	1	NAMRIL	Z002
Z002E0053	164.388455652821	1	NAMRIL	Z002
Z002E0054	135.238152829511	1	NAMRIL	Z002
Z002E0055	151.137464042366	1	NAMRIL	Z002
Z002E0056	134.271562270506	1	NAMRIL	Z002
Z002E0057	112.593715551604	1	NAMRIL	Z002
Z002E0058	127.846387850769	1	NAMRIL	Z002
Z002E0059	124.056394906114	1	NAMRIL	Z002
Z002E0060	81.1919238016789	1	NAMRIL	Z002
Z002E0061	145.708894906103	1	NAMRIL	Z002
Z002E0062	137.49292120347	1	NAMRIL	Z002
Z002E0063	142.784543310106	1	NAMRIL	Z002
Z002E0064	143.324130709041	1	NAMRIL	Z002
Z002E0065	140.335335815871	1	NAMRIL	Z002
Z002E0066	134.571394906092	1	NAMRIL	Z002
Z002E0067	104.87605128479	1	NAMRIL	Z002
Z002E0068	148.905257595818	1	NAMRIL	Z002
Z002E0069	122.524876730941	1	NAMRIL	Z002
Z002E0070	145.978270104015	1	NAMRIL	Z002
Z002E0071	121.421486162838	1	NAMRIL	Z002
Z002E0072	104.404543310105	1	NAMRIL	Z002
Z002E0073	147.724296203454	1	NAMRIL	Z002
Z002E0074	145.106562270509	1	NAMRIL	Z002
Z002E0075	143.189460036527	1	NAMRIL	Z002
Z002E0076	156.214296203478	1	NAMRIL	Z002
Z002E0077	126.529380242898	1	NAMRIL	Z002
Z002E0078	137.966270104025	1	NAMRIL	Z002
Z002E0079	142.354543310101	1	NAMRIL	Z002
Z002E0080	164.715257595805	1	NAMRIL	Z002
Z002E0081	164.398114738686	1	NAMRIL	Z002
Z002E0082	144.630257595825	1	NAMRIL	Z002
Z002E0083	150.760971881552	1	NAMRIL	Z002
Z002E0084	140.16097188154	1	NAMRIL	Z002
Z002E0085	136.57740045295	1	NAMRIL	Z002
Z002E0086	163.830257595795	1	NAMRIL	Z002
Z002E0087	143.636686167232	1	NAMRIL	Z002
Z002E0088	149.204296203459	1	NAMRIL	Z002
Z002E0089	148.661587865976	1	NAMRIL	Z002
Z002E0090	119.51811473868	1	NAMRIL	Z002
Z002E0091	146.872421203447	1	NAMRIL	Z002
Z002E0092	125.246050101606	1	NAMRIL	Z002
Z002E0093	145.918705127635	1	NAMRIL	Z002
Z002E0094	134.988705127653	1	NAMRIL	Z002
Z002E0095	125.038671203467	1	NAMRIL	Z002
Z002E0096	136.711796203461	1	NAMRIL	Z002
Z002E0097	146.590242061305	1	NAMRIL	Z002
Z002E0098	121.210122319472	1	NAMRIL	Z002
Z002E0099	158.173832406068	1	NAMRIL	Z002
Z002E0100	140.488061572776	1	NAMRIL	Z002
Z002E0101	118.616185767691	1	NAMRIL	Z002
Z002E0102	138.673152829494	1	NAMRIL	Z002
Z002E0103	125.320393657633	1	NAMRIL	Z002
Z002E0104	146.711686167233	1	NAMRIL	Z002
Z002E0105	144.807622319472	1	NAMRIL	Z002
Z002E0106	141.309541454726	1	NAMRIL	Z002
Z002E0107	132.343114738679	1	NAMRIL	Z002
Z002E0108	143.311880242884	1	NAMRIL	Z002
Z002E0109	137.888986162842	1	NAMRIL	Z002
Z002E0110	150.331394906064	1	NAMRIL	Z002
Z002E0111	144.249728239422	1	NAMRIL	Z002
Z002E0112	167.356764387324	1	NAMRIL	Z002
Z002E0113	98.0099212034667	1	NAMRIL	Z002
Z002E0114	149.780257595845	1	NAMRIL	Z002
Z002E0115	180.503328624836	1	NAMRIL	Z002
Z002E0116	142.949570783193	1	NAMRIL	Z002
Z002E0117	128.439419413365	1	NAMRIL	Z002
Z002E0118	144.224265680926	1	NAMRIL	Z002
Z002E0119	140.853771915089	1	NAMRIL	Z002
Z002E0120	143.676394906093	1	NAMRIL	Z002
Z002E0121	123.730546203459	1	NAMRIL	Z002
Z002E0122	139.613114738688	1	NAMRIL	Z002
Z002E0123	121.348959097769	1	NAMRIL	Z002
Z002E0124	155.274288986138	1	NAMRIL	Z002
Z002E0125	121.150546203462	1	NAMRIL	Z002
Z002E0126	166.226923334685	1	NAMRIL	Z002
Z002E0127	135.534810324303	1	NAMRIL	Z002
Z002E0128	133.419543310115	1	NAMRIL	Z002
Z002E0129	130.047421203468	1	NAMRIL	Z002
Z002E0130	138.782973475014	1	NAMRIL	Z002
Z002E0131	145.474296203459	1	NAMRIL	Z002
Z002E0132	146.922421203467	1	NAMRIL	Z002
Z002E0133	122.440257595824	1	NAMRIL	Z002
Z002E0134	133.958046203473	1	NAMRIL	Z002
Z002E0135	142.282421203471	1	NAMRIL	Z002
Z002E0136	118.139449676561	1	NAMRIL	Z002
Z002E0137	133.941394906097	1	NAMRIL	Z002
Z002E0138	134.769296203473	1	NAMRIL	Z002
Z002E0139	155.409979966634	1	NAMRIL	Z002
Z002E0140	142.085335815892	1	NAMRIL	Z002
Z002E0141	130.625257595822	1	NAMRIL	Z002
Z002E0142	181.70668616724	1	NAMRIL	Z002
Z002E0143	154.609543310116	1	NAMRIL	Z002
Z002E0144	131.697400452951	1	NAMRIL	Z002
Z002E0145	168.883705127648	1	NAMRIL	Z002
Z002E0146	144.95556157275	1	NAMRIL	Z002
Z002E0147	155.777276556212	1	NAMRIL	Z002
Z002E0148	120.480257595821	1	NAMRIL	Z002
Z002E0149	150.413671203468	1	NAMRIL	Z002
Z002E0150	135.707244811142	1	NAMRIL	Z002
Z002E0151	159.513038203862	1	NAMRIL	Z002
Z002E0152	127.130411526068	1	NAMRIL	Z002
Z002E0153	131.117743000088	1	NAMRIL	Z002
Z002E0154	146.644921203475	1	NAMRIL	Z002
Z002E0155	141.611394906106	1	NAMRIL	Z002
Z002E0156	156.820905430439	1	NAMRIL	Z002
Z002E0157	139.499921203457	1	NAMRIL	Z002
Z002E0158	122.928907244455	1	NAMRIL	Z002
Z002E0159	147.711719037599	1	NAMRIL	Z002
Z002E0160	163.921562270522	1	NAMRIL	Z002
Z002E0161	153.494460036515	1	NAMRIL	Z002
Z002E0162	119.084819496168	1	NAMRIL	Z002
Z002E0163	148.498910011008	1	NAMRIL	Z002
Z002E0164	132.69168616725	1	NAMRIL	Z002
Z002E0165	128.09024481115	1	NAMRIL	Z002
Z002E0166	129.740054878616	1	NAMRIL	Z002
Z002E0167	131.943894906093	1	NAMRIL	Z002
Z002E0168	139.17597188152	1	NAMRIL	Z002
Z002E0169	118.487464042377	1	NAMRIL	Z002
Z002E0170	130.853671203464	1	NAMRIL	Z002
Z002E0171	131.036764387311	1	NAMRIL	Z002
Z002E0172	165.367276556199	1	NAMRIL	Z002
Z002E0173	135.21414443994	1	NAMRIL	Z002
Z002E0174	141.59887153718	1	NAMRIL	Z002
Z002E0175	158.264839241801	1	NAMRIL	Z002
Z002E0176	150.601796203468	1	NAMRIL	Z002
Z002E0177	184.54997996663	1	NAMRIL	Z002
Z002E0178	147.318046203474	1	NAMRIL	Z002
Z002E0179	114.702204870522	1	NAMRIL	Z002
Z002E0180	140.178829024387	1	NAMRIL	Z002
Z002E0181	146.050971881541	1	NAMRIL	Z002
Z002E0182	169.757102136519	1	NAMRIL	Z002
Z002E0183	134.498114738677	1	NAMRIL	Z002
Z002E0184	144.228671203459	1	NAMRIL	Z002
Z002E0185	101.378894906092	1	NAMRIL	Z002
Z002E0186	145.065257595839	1	NAMRIL	Z002
Z002E0187	164.737123532562	1	NAMRIL	Z002
Z002E0188	114.144728239426	1	NAMRIL	Z002
Z002E0189	140.318328624818	1	NAMRIL	Z002
Z002E0190	155.958061572778	1	NAMRIL	Z002
Z002E0191	145.277421203473	1	NAMRIL	Z002
Z002E0192	140.482478673031	1	NAMRIL	Z002
Z002E0193	109.012970689285	1	NAMRIL	Z002
Z002E0194	120.741796203459	1	NAMRIL	Z002
Z002E0195	147.848061572748	1	NAMRIL	Z002
Z002E0196	174.045971881542	1	NAMRIL	Z002
Z002E0197	113.25009585953	1	NAMRIL	Z002
Z002E0198	129.746900053398	1	NAMRIL	Z002
Z002E0199	130.907400452964	1	NAMRIL	Z002
