Genotype	CW	Fix	pop$	FID$
Z001E0165	21.6372043726892	1	NAMRIL	Z001
Z001E0166	18.0047619830013	1	NAMRIL	Z001
Z001E0167	17.5022043726888	1	NAMRIL	Z001
Z001E0168	11.8960737805153	1	NAMRIL	Z001
Z001E0169	19.5540793726899	1	NAMRIL	Z001
Z001E0170	20.6094624144732	1	NAMRIL	Z001
Z001E0171	14.536114217796	1	NAMRIL	Z001
Z001E0172	14.0709543726903	1	NAMRIL	Z001
Z001E0173	15.7065793726901	1	NAMRIL	Z001
Z001E0174	20.8010737805146	1	NAMRIL	Z001
Z001E0175	17.2227581854555	1	NAMRIL	Z001
Z001E0176	15.1909543726891	1	NAMRIL	Z001
Z001E0177	19.5146452090854	1	NAMRIL	Z001
Z001E0178	15.0097043726885	1	NAMRIL	Z001
Z001E0179	16.9947603540837	1	NAMRIL	Z001
Z001E0180	16.6853293726892	1	NAMRIL	Z001
Z001E0181	22.0932166376577	1	NAMRIL	Z001
Z001E0182	23.0111142177942	1	NAMRIL	Z001
Z001E0183	23.7969475511307	1	NAMRIL	Z001
Z001E0184	20.7915793726894	1	NAMRIL	Z001
Z001E0185	17.3989309233702	1	NAMRIL	Z001
Z001E0186	18.1774005463888	1	NAMRIL	Z001
Z001E0187	16.6372043726895	1	NAMRIL	Z001
Z001E0188	15.664704372691	1	NAMRIL	Z001
Z001E0189	20.8160915187867	1	NAMRIL	Z001
Z001E0190	16.063725854621	1	NAMRIL	Z001
Z001E0191	17.9365793726889	1	NAMRIL	Z001
Z001E0192	20.3434543726888	1	NAMRIL	Z001
Z001E0193	19.5969248521222	1	NAMRIL	Z001
Z001E0194	12.3079765431891	1	NAMRIL	Z001
Z001E0195	21.2067880662264	1	NAMRIL	Z001
Z001E0196	19.3177808844644	1	NAMRIL	Z001
Z001E0197	15.5917880662291	1	NAMRIL	Z001
Z001E0198	22.0284543726894	1	NAMRIL	Z001
Z001E0199	13.8675635698585	1	NAMRIL	Z001
Z001E0200	15.3827581854538	1	NAMRIL	Z001
Z001E0201	21.7669030051872	1	NAMRIL	Z001
Z001E0202	16.8668837564393	1	NAMRIL	Z001
Z001E0262	20.504312502924	1	NAMRIL	Z001
Z001E0274	19.0543125029258	1	NAMRIL	Z001
Z001E0279	15.3043125029254	1	NAMRIL	Z001
Z002E0001	17.0130915614663	1	NAMRIL	Z002
Z002E0002	20.0653293726923	1	NAMRIL	Z002
Z002E0003	15.9838096615216	1	NAMRIL	Z002
Z002E0004	16.4853594947984	1	NAMRIL	Z002
