Genotype	AKW	Fix	pop$	FID$
Z002E0047	0.21503492466472	1	NAMRIL	Z002
Z002E0048	0.178750878291193	1	NAMRIL	Z002
Z002E0049	0.2577508782912	1	NAMRIL	Z002
Z002E0050	0.227167544957883	1	NAMRIL	Z002
Z002E0051	0.167993257998066	1	NAMRIL	Z002
Z002E0052	0.243220989587199	1	NAMRIL	Z002
Z002E0053	0.266871171670908	1	NAMRIL	Z002
Z002E0054	0.217909924664656	1	NAMRIL	Z002
Z002E0055	0.203542544957929	1	NAMRIL	Z002
Z002E0056	0.211701591331311	1	NAMRIL	Z002
Z002E0057	0.265401538741824	1	NAMRIL	Z002
Z002E0058	0.244051958064867	1	NAMRIL	Z002
Z002E0059	0.245528260835001	1	NAMRIL	Z002
Z002E0060	0.271086764781357	1	NAMRIL	Z002
Z002E0061	0.237328260834965	1	NAMRIL	Z002
Z002E0062	0.275581930508661	1	NAMRIL	Z002
Z002E0063	0.20657117167095	1	NAMRIL	Z002
Z002E0064	0.213689073365806	1	NAMRIL	Z002
Z002E0065	0.2214390733658	1	NAMRIL	Z002
Z002E0066	0.252828260834914	1	NAMRIL	Z002
Z002E0067	0.220901538741881	1	NAMRIL	Z002
Z002E0068	0.3500425449579	1	NAMRIL	Z002
Z002E0069	0.17928689651312	1	NAMRIL	Z002
Z002E0070	0.248432384945948	1	NAMRIL	Z002
Z002E0071	0.226534924664756	1	NAMRIL	Z002
Z002E0072	0.207834211624513	1	NAMRIL	Z002
Z002E0073	0.21911764479445	1	NAMRIL	Z002
Z002E0074	0.189201591331402	1	NAMRIL	Z002
Z002E0075	0.242372973195565	1	NAMRIL	Z002
Z002E0076	0.237542544957878	1	NAMRIL	Z002
Z002E0077	0.261974787651524	1	NAMRIL	Z002
Z002E0078	0.274247973195578	1	NAMRIL	Z002
Z002E0079	0.190500878291196	1	NAMRIL	Z002
Z002E0080	0.236250878291181	1	NAMRIL	Z002
Z002E0081	0.198084211624551	1	NAMRIL	Z002
Z002E0082	0.225167544957837	1	NAMRIL	Z002
Z002E0083	0.280250878291205	1	NAMRIL	Z002
Z002E0084	0.257648700915104	1	NAMRIL	Z002
Z002E0085	0.21762587829122	1	NAMRIL	Z002
Z002E0086	0.286667544957841	1	NAMRIL	Z002
Z002E0087	0.217584211624491	1	NAMRIL	Z002
Z002E0088	0.212617644794356	1	NAMRIL	Z002
Z002E0089	0.244985291528316	1	NAMRIL	Z002
Z002E0090	0.306750878291222	1	NAMRIL	Z002
Z002E0091	0.228284311458696	1	NAMRIL	Z002
Z002E0092	0.226474787651537	1	NAMRIL	Z002
Z002E0093	0.245368257998027	1	NAMRIL	Z002
Z002E0094	0.251209556719464	1	NAMRIL	Z002
Z002E0095	0.301010501937225	1	NAMRIL	Z002
Z002E0096	0.225939073365841	1	NAMRIL	Z002
Z002E0097	0.248518701071201	1	NAMRIL	Z002
Z002E0098	0.274621171670903	1	NAMRIL	Z002
Z002E0099	0.235833787729905	1	NAMRIL	Z002
Z002E0100	0.307078260834996	1	NAMRIL	Z002
Z002E0101	0.238701591331396	1	NAMRIL	Z002
Z002E0102	0.238784924664711	1	NAMRIL	Z002
Z002E0103	0.177109556719393	1	NAMRIL	Z002
Z002E0104	0.204500878291198	1	NAMRIL	Z002
Z002E0105	0.2481711716709	1	NAMRIL	Z002
Z002E0106	0.227509004606379	1	NAMRIL	Z002
Z002E0107	0.186709211624574	1	NAMRIL	Z002
Z002E0108	0.24565401702802	1	NAMRIL	Z002
Z002E0109	0.178243257998002	1	NAMRIL	Z002
Z002E0110	0.270978260835062	1	NAMRIL	Z002
