Genotype	KRN	Fix	pop$	FID$
Z002E0009	12.4903334960049	1	NAMRIL	Z002
Z002E0010	15.799369259376	1	NAMRIL	Z002
Z002E0011	13.7645062972855	1	NAMRIL	Z002
Z002E0012	13.6163608923711	1	NAMRIL	Z002
Z002E0013	14.9824090386449	1	NAMRIL	Z002
Z002E0014	13.758837689381	1	NAMRIL	Z002
Z002E0015	14.7879104271889	1	NAMRIL	Z002
Z002E0016	11.6327025927091	1	NAMRIL	Z002
Z002E0017	14.6984569527973	1	NAMRIL	Z002
Z002E0018	10.977647924547	1	NAMRIL	Z002
Z002E0019	16.4062193531155	1	NAMRIL	Z002
Z002E0020	13.5875367946228	1	NAMRIL	Z002
Z002E0021	13.3138099026045	1	NAMRIL	Z002
Z002E0022	13.3827025927094	1	NAMRIL	Z002
Z002E0023	14.6610662627384	1	NAMRIL	Z002
Z002E0024	14.1950068725872	1	NAMRIL	Z002
Z002E0025	13.6216491544267	1	NAMRIL	Z002
Z002E0026	13.6310461126135	1	NAMRIL	Z002
Z002E0027	13.5969427849289	1	NAMRIL	Z002
Z002E0028	15.0021961414756	1	NAMRIL	Z002
Z002E0029	16.3838376893839	1	NAMRIL	Z002
Z002E0030	17.47879201157	1	NAMRIL	Z002
Z002E0031	12.696337689381	1	NAMRIL	Z002
Z002E0032	15.7229425421553	1	NAMRIL	Z002
Z002E0033	15.3838376893827	1	NAMRIL	Z002
Z002E0034	15.5021961414727	1	NAMRIL	Z002
Z002E0035	12.2588376893825	1	NAMRIL	Z002
Z002E0036	13.8826570706439	1	NAMRIL	Z002
Z002E0037	13.0502205829975	1	NAMRIL	Z002
Z002E0038	15.1450532843309	1	NAMRIL	Z002
Z002E0039	10.8285673658974	1	NAMRIL	Z002
Z002E0040	14.9463376893811	1	NAMRIL	Z002
Z002E0041	14.113809902604	1	NAMRIL	Z002
Z002E0042	14.883837689382	1	NAMRIL	Z002
Z002E0043	14.8468866668849	1	NAMRIL	Z002
Z002E0044	16.8347907816897	1	NAMRIL	Z002
