Genotype	CD	Fix	pop$	FID$
Z001E0050	23.9346679294406	1	NAMRIL	Z001
Z001E0051	29.9775250722962	1	NAMRIL	Z001
Z001E0052	23.4995650513736	1	NAMRIL	Z001
Z001E0053	25.4045650513754	1	NAMRIL	Z001
Z001E0054	26.3689400513742	1	NAMRIL	Z001
Z001E0055	26.7839400513748	1	NAMRIL	Z001
Z001E0056	25.4520650513739	1	NAMRIL	Z001
Z001E0057	28.8655673059446	1	NAMRIL	Z001
Z001E0058	24.9375330770484	1	NAMRIL	Z001
Z001E0059	26.3407450448084	1	NAMRIL	Z001
Z001E0060	31.0658150513719	1	NAMRIL	Z001
Z001E0061	25.6201900513746	1	NAMRIL	Z001
Z001E0062	27.7932393580119	1	NAMRIL	Z001
Z001E0063	27.5590157047831	1	NAMRIL	Z001
Z001E0064	27.5353902199087	1	NAMRIL	Z001
Z001E0065	28.9301900513756	1	NAMRIL	Z001
Z001E0066	28.0639400513754	1	NAMRIL	Z001
Z001E0067	25.2283150513741	1	NAMRIL	Z001
Z001E0068	25.898239358012	1	NAMRIL	Z001
Z001E0069	26.768940051373	1	NAMRIL	Z001
Z001E0070	29.0233150513768	1	NAMRIL	Z001
Z001E0071	24.1710965008694	1	NAMRIL	Z001
Z001E0072	26.7250239328516	1	NAMRIL	Z001
Z001E0073	25.9139444904843	1	NAMRIL	Z001
Z001E0074	30.3653822151588	1	NAMRIL	Z001
Z001E0075	25.6577204375074	1	NAMRIL	Z001
Z001E0076	26.2214400513735	1	NAMRIL	Z001
Z001E0077	24.5396679294415	1	NAMRIL	Z001
Z001E0078	26.5960808898684	1	NAMRIL	Z001
Z001E0079	26.7246679294405	1	NAMRIL	Z001
Z001E0080	24.6320650513745	1	NAMRIL	Z001
Z001E0081	23.631440051373	1	NAMRIL	Z001
Z001E0082	28.0764400513728	1	NAMRIL	Z001
Z001E0083	25.7546706025551	1	NAMRIL	Z001
Z001E0084	25.2940783781417	1	NAMRIL	Z001
Z001E0085	23.4037155480117	1	NAMRIL	Z001
Z001E0086	26.9233637116602	1	NAMRIL	Z001
Z001E0087	25.8618107865839	1	NAMRIL	Z001
Z001E0088	27.8969958773701	1	NAMRIL	Z001
Z001E0089	29.3832674730105	1	NAMRIL	Z001
Z001E0090	26.6541877061159	1	NAMRIL	Z001
Z001E0091	25.7032393580124	1	NAMRIL	Z001
Z001E0092	22.7421288151474	1	NAMRIL	Z001
Z001E0093	25.9003902199057	1	NAMRIL	Z001
Z001E0094	25.8081477724061	1	NAMRIL	Z001
Z001E0095	26.5232393580118	1	NAMRIL	Z001
Z001E0096	26.7318107865842	1	NAMRIL	Z001
Z001E0097	27.0254198762302	1	NAMRIL	Z001
Z001E0098	30.5358150513768	1	NAMRIL	Z001
Z001E0099	27.3496679294396	1	NAMRIL	Z001
Z001E0100	24.9089400513742	1	NAMRIL	Z001
Z001E0101	26.1107407407382	1	NAMRIL	Z001
Z001E0102	28.3160965008683	1	NAMRIL	Z001
Z001E0103	25.9114400513731	1	NAMRIL	Z001
Z001E0104	26.6913839549678	1	NAMRIL	Z001
Z001E0105	28.1073490381139	1	NAMRIL	Z001
Z001E0106	26.5275067506795	1	NAMRIL	Z001
Z001E0107	28.6032393580132	1	NAMRIL	Z001
Z001E0108	25.0425250722985	1	NAMRIL	Z001
Z001E0109	26.1996679294398	1	NAMRIL	Z001
Z001E0110	28.9275210394458	1	NAMRIL	Z001
Z001E0111	29.0268187913336	1	NAMRIL	Z001
Z001E0112	23.373682689026	1	NAMRIL	Z001
Z001E0113	27.1584244487999	1	NAMRIL	Z001
Z001E0114	27.561648385125	1	NAMRIL	Z001
Z001E0115	24.228315051376	1	NAMRIL	Z001
Z001E0116	23.8383150513737	1	NAMRIL	Z001
Z001E0117	27.2832393580117	1	NAMRIL	Z001
Z001E0118	26.7803822151556	1	NAMRIL	Z001
Z001E0119	27.1811045056215	1	NAMRIL	Z001
Z001E0120	25.918239358012	1	NAMRIL	Z001
Z001E0121	28.2664400513738	1	NAMRIL	Z001
Z001E0122	27.4314400513753	1	NAMRIL	Z001
Z001E0123	28.8968107865835	1	NAMRIL	Z001
Z001E0124	29.4161045056206	1	NAMRIL	Z001
Z001E0125	26.6789536437268	1	NAMRIL	Z001
Z001E0126	24.7718107865838	1	NAMRIL	Z001
Z001E0127	29.7923144390727	1	NAMRIL	Z001
Z001E0128	26.0153527202181	1	NAMRIL	Z001
Z001E0129	28.1219395099697	1	NAMRIL	Z001
Z001E0130	27.7223490381171	1	NAMRIL	Z001
Z001E0131	26.4860965008688	1	NAMRIL	Z001
Z001E0132	30.7782450448113	1	NAMRIL	Z001
Z001E0133	26.8475250722976	1	NAMRIL	Z001
Z001E0134	26.7139536437266	1	NAMRIL	Z001
Z001E0135	26.2275250722977	1	NAMRIL	Z001
Z001E0136	27.0518107865823	1	NAMRIL	Z001
Z001E0137	28.266810786584	1	NAMRIL	Z001
Z001E0138	28.988239358013	1	NAMRIL	Z001
Z001E0139	26.1558150513757	1	NAMRIL	Z001
Z001E0140	26.361481105739	1	NAMRIL	Z001
Z001E0141	24.4870650513741	1	NAMRIL	Z001
Z001E0142	29.5239913048033	1	NAMRIL	Z001
Z001E0143	25.6320650513745	1	NAMRIL	Z001
Z001E0144	25.3726900513738	1	NAMRIL	Z001
Z001E0145	28.3341387345138	1	NAMRIL	Z001
Z001E0146	26.5839536437267	1	NAMRIL	Z001
Z001E0147	27.0083150513728	1	NAMRIL	Z001
Z001E0148	28.7389536437242	1	NAMRIL	Z001
Z001E0149	25.6183307391086	1	NAMRIL	Z001
Z001E0150	26.3725250722978	1	NAMRIL	Z001
Z001E0151	28.4535537708412	1	NAMRIL	Z001
Z001E0152	23.8977631680125	1	NAMRIL	Z001
Z001E0153	24.7918107865837	1	NAMRIL	Z001
Z001E0154	29.3775210394497	1	NAMRIL	Z001
Z001E0155	26.9181823714503	1	NAMRIL	Z001
Z001E0156	26.2833150513741	1	NAMRIL	Z001
Z001E0157	31.170550621634	1	NAMRIL	Z001
Z001E0158	26.1732393580128	1	NAMRIL	Z001
Z001E0159	25.0553822151575	1	NAMRIL	Z001
Z001E0160	25.6818107865849	1	NAMRIL	Z001
Z001E0161	27.208953643725	1	NAMRIL	Z001
Z001E0162	25.8942674730078	1	NAMRIL	Z001
Z001E0163	24.9546679294419	1	NAMRIL	Z001
Z001E0164	26.620390219907	1	NAMRIL	Z001
Z001E0165	28.0676164533949	1	NAMRIL	Z001
Z001E0166	24.3323082188295	1	NAMRIL	Z001
Z001E0167	25.811440051375	1	NAMRIL	Z001
Z001E0168	23.3825250722993	1	NAMRIL	Z001
Z001E0169	28.7801900513717	1	NAMRIL	Z001
Z001E0170	28.7268180577079	1	NAMRIL	Z001
Z001E0171	25.9452204375076	1	NAMRIL	Z001
Z001E0172	24.556440051375	1	NAMRIL	Z001
Z001E0173	24.8401900513735	1	NAMRIL	Z001
Z001E0174	30.016810786585	1	NAMRIL	Z001
Z001E0175	30.6537033274049	1	NAMRIL	Z001
Z001E0176	26.0845650513751	1	NAMRIL	Z001
Z001E0177	28.3710965008675	1	NAMRIL	Z001
Z001E0178	24.7658150513739	1	NAMRIL	Z001
Z001E0179	28.4539913047997	1	NAMRIL	Z001
Z001E0180	27.1114400513749	1	NAMRIL	Z001
Z001E0181	30.0203822151571	1	NAMRIL	Z001
Z001E0182	29.2985537708407	1	NAMRIL	Z001
Z001E0183	28.1952204375067	1	NAMRIL	Z001
Z001E0184	26.7639400513733	1	NAMRIL	Z001
Z001E0185	26.006810786583	1	NAMRIL	Z001
Z001E0186	24.5870650513728	1	NAMRIL	Z001
Z001E0187	26.1689400513739	1	NAMRIL	Z001
Z001E0188	28.4270650513745	1	NAMRIL	Z001
Z001E0189	28.9314811057366	1	NAMRIL	Z001
Z001E0190	27.9382473627629	1	NAMRIL	Z001
Z001E0191	27.6883150513747	1	NAMRIL	Z001
Z001E0192	29.9658150513758	1	NAMRIL	Z001
Z001E0193	25.3764811057388	1	NAMRIL	Z001
Z001E0194	25.5018902228062	1	NAMRIL	Z001
Z001E0195	28.0782393580103	1	NAMRIL	Z001
Z001E0196	27.2160537708404	1	NAMRIL	Z001
Z001E0197	25.407525072297	1	NAMRIL	Z001
Z001E0198	27.138940051376	1	NAMRIL	Z001
Z001E0199	27.5999117114743	1	NAMRIL	Z001
Z001E0200	24.2231477724054	1	NAMRIL	Z001
Z001E0201	29.8111868463731	1	NAMRIL	Z001
