Genotype	KC	Fix	pop$	FID$
Z002E0016	251.005536066598	1	NAMRIL	Z002
Z002E0017	252.509554378331	1	NAMRIL	Z002
Z002E0018	202.523847230544	1	NAMRIL	Z002
Z002E0019	329.715758198628	1	NAMRIL	Z002
Z002E0020	281.119016445411	1	NAMRIL	Z002
Z002E0021	271.935736294611	1	NAMRIL	Z002
Z002E0022	250.338764494213	1	NAMRIL	Z002
Z002E0023	292.367344872067	1	NAMRIL	Z002
Z002E0024	320.217276766156	1	NAMRIL	Z002
Z002E0025	340.347165127658	1	NAMRIL	Z002
Z002E0026	222.148933527494	1	NAMRIL	Z002
Z002E0027	339.057375149986	1	NAMRIL	Z002
Z002E0028	353.456920281929	1	NAMRIL	Z002
Z002E0029	361.712596559633	1	NAMRIL	Z002
Z002E0030	437.198081589737	1	NAMRIL	Z002
Z002E0031	249.663777688831	1	NAMRIL	Z002
Z002E0032	174.298100080766	1	NAMRIL	Z002
Z002E0033	205.961039516923	1	NAMRIL	Z002
Z002E0034	279.682168463235	1	NAMRIL	Z002
Z002E0035	319.598078044865	1	NAMRIL	Z002
Z002E0036	192.136840731871	1	NAMRIL	Z002
Z002E0037	264.188811745838	1	NAMRIL	Z002
Z002E0038	322.111699050667	1	NAMRIL	Z002
Z002E0039	212.028625827485	1	NAMRIL	Z002
Z002E0040	350.767256709251	1	NAMRIL	Z002
Z002E0041	222.91397946822	1	NAMRIL	Z002
Z002E0042	341.900776694969	1	NAMRIL	Z002
Z002E0043	171.768167147703	1	NAMRIL	Z002
Z002E0044	352.559964013915	1	NAMRIL	Z002
Z002E0045	374.922441716754	1	NAMRIL	Z002
Z002E0046	367.861841703779	1	NAMRIL	Z002
Z002E0047	231.007150360345	1	NAMRIL	Z002
Z002E0048	395.149341259269	1	NAMRIL	Z002
Z002E0049	256.564797390349	1	NAMRIL	Z002
Z002E0050	301.030757607742	1	NAMRIL	Z002
Z002E0051	298.733091344431	1	NAMRIL	Z002
Z002E0052	386.281543453458	1	NAMRIL	Z002
Z002E0053	390.658639186969	1	NAMRIL	Z002
Z002E0054	276.797917195433	1	NAMRIL	Z002
Z002E0055	397.698066254246	1	NAMRIL	Z002
Z002E0056	315.248722478221	1	NAMRIL	Z002
Z002E0057	311.301538931286	1	NAMRIL	Z002
Z002E0058	241.024225911731	1	NAMRIL	Z002
Z002E0059	303.546926321883	1	NAMRIL	Z002
Z002E0060	138.261031085739	1	NAMRIL	Z002
Z002E0061	373.632357755704	1	NAMRIL	Z002
Z002E0062	258.35989374556	1	NAMRIL	Z002
