Genotype	AKW	Fix
Z007xZ023	0.373561270000001	1
Z007xZ024	0.328937879666667	1
Z007xZ025	0.396560541555556	1
Z007xZ026	0.286400907114753	1
Z008xZ009	0.227812853649859	1
Z008xZ012	0.223038023291113	1
Z008xZ013	0.222622293509443	1
Z008xZ014	0.317809600555557	1
Z008xZ016	0.236166961252359	1
Z008xZ017	0.321208621000001	1
Z008xZ018	0.243217214	1
Z008xZ020	0.279379693576824	1
Z008xZ023	0.326670061111111	1
Z008xZ025	0.313003688222223	1
Z008xZ026	0.227946322500002	1
Z009xZ012	0.339619579632888	1
Z009xZ014	0.35724643753155	1
Z009xZ015	0.383554737007888	1
Z009xZ016	0.291240064111111	1
Z009xZ017	0.386954453999999	1
Z009xZ020	0.320114512333334	1
Z009xZ024	0.355186659333335	1
Z009xZ025	0.365778414111112	1
Z009xZ026	0.288594857882888	1
Z010xZ016	0.27032398288889	1
Z010xZ017	0.254349047444446	1
Z010xZ020	0.222839552000001	1
Z010xZ021	0.213399411222224	1
Z010xZ022	0.255709163	1
Z010xZ024	0.244299981719681	1
Z010xZ025	0.266070006000001	1
Z011xZ012	0.371061042666669	1
Z011xZ017	0.375533762222224	1
Z011xZ019	0.342477474	1
Z011xZ020	0.358920440632888	1
Z011xZ021	0.313092200222223	1
Z011xZ022	0.332891048564861	1
Z012xZ013	0.301787759062536	1
Z012xZ015	0.360119359364753	1
Z012xZ017	0.382731997666667	1
Z012xZ018	0.302921370239753	1
Z012xZ021	0.313850656632889	1
Z012xZ022	0.350259328757888	1
Z012xZ025	0.319162979111112	1
Z012xZ026	0.252167054882889	1
Z013xZ015	0.349614599709593	1
Z013xZ016	0.323795088446601	1
Z013xZ018	0.293609927875171	1
Z013xZ021	0.300599934111112	1
Z013xZ023	0.373298802257887	1
Z013xZ024	0.35055384315457	1
Z013xZ025	0.351164794555556	1
Z013xZ026	0.282577972166672	1
Z014xZ016	0.334886399798113	1
Z014xZ017	0.407303049507887	1
Z014xZ019	0.385119879777779	1
Z014xZ020	0.335514062879287	1
Z014xZ021	0.35009878412136	1
Z014xZ022	0.318311494666667	1
Z014xZ023	0.390526170222222	1
Z014xZ024	0.319555029000001	1
Z014xZ025	0.376180745003713	1
Z014xZ026	0.297586233340703	1
Z015xZ015	0.18116118098113	1
Z015xZ018	0.333459325111112	1
Z015xZ020	0.327178394444445	1
Z015xZ021	0.363458451999999	1
Z015xZ023	0.377736308444446	1
Z015xZ025	0.375785454333335	1
Z015xZ026	0.293672251318595	1
Z016xZ017	0.363561235444446	1
Z016xZ018	0.35051179188889	1
Z016xZ019	0.314458396444445	1
Z016xZ020	0.290589133111112	1
Z016xZ021	0.319377397111112	1
Z016xZ022	0.321120166589458	1
Z016xZ023	0.332973392055556	1
Z016xZ024	0.371909273002361	1
Z016xZ025	0.321125057611112	1
Z016xZ026	0.260742988944445	1
Z017xZ020	0.326192430297427	1
Z017xZ021	0.358332631888889	1
Z017xZ022	0.364982943833334	1
Z017xZ023	0.386761803333334	1
Z017xZ024	0.322825928333334	1
Z017xZ025	0.367643583444444	1
Z018xZ020	0.259386331222223	1
Z018xZ026	0.233455747618308	1
Z019xZ021	0.351132258000001	1
Z019xZ022	0.314058947666667	1
Z019xZ024	0.355457107877361	1
Z020xZ021	0.284965760600001	1
Z020xZ022	0.318887743308199	1
Z020xZ023	0.365397218333334	1
Z020xZ024	0.330431463011711	1
Z020xZ025	0.330999583598113	1
Z020xZ026	0.236799692222223	1
Z021xZ021	0.191415138864883	1
Z021xZ022	0.304266288666667	1
Z021xZ024	0.274823878362539	1
Z021xZ025	0.326500488666667	1
Z022xZ023	0.363135094333334	1
Z022xZ024	0.274695169592775	1
Z023xZ023	0.177538685016811	1
Z023xZ025	0.382566480000001	1
Z023xZ026	0.328776154222223	1
Z024xZ025	0.324193035666668	1
Z024xZ026	0.264500125444445	1
Z025xZ026	0.334555103333334	1
