Genotype	KRN	Fix
Z008xZ012	11.5555555555555	1
Z008xZ013	12.0029121777808	1
Z008xZ014	12.8888888888889	1
Z008xZ016	11.9960316869269	1
Z008xZ017	11.7777777777778	1
Z008xZ018	14.2222222222222	1
Z008xZ020	13.3333333333334	1
Z008xZ023	15.5555555555556	1
Z008xZ025	13.3333333333334	1
Z008xZ026	14.0000000000003	1
Z009xZ012	12.6666666666667	1
Z009xZ014	13.6507934143751	1
Z009xZ015	13.4960316869272	1
Z009xZ016	12.6666666666667	1
Z009xZ017	12.6666666666666	1
Z009xZ020	14.2222222222223	1
Z009xZ024	11.7777777777778	1
Z009xZ025	14.6666666666668	1
Z009xZ026	14.496031686927	1
Z010xZ016	14.4444444444445	1
Z010xZ017	14	1
Z010xZ020	15.7777777777778	1
Z010xZ021	14.4444444444444	1
Z010xZ022	15.1111111111111	1
Z010xZ024	14.001664101589	1
Z010xZ025	15.5555555555556	1
Z011xZ012	14.8888888888889	1
Z011xZ017	13.5555555555556	1
Z011xZ019	15.5555555555555	1
Z011xZ020	15.2460316869271	1
Z011xZ021	15.6666666666667	1
Z011xZ022	16.7507280444452	1
Z012xZ013	12.233426676201	1
Z012xZ015	14.5032402686277	1
Z012xZ017	13.3333333333334	1
Z012xZ018	14.2222222222223	1
Z012xZ021	13.746031686927	1
Z012xZ022	15.4960316869271	1
Z012xZ025	15.3333333333333	1
Z012xZ026	14.6666666666667	1
Z013xZ015	14.7040149114951	1
Z013xZ016	14.8480724272619	1
Z013xZ018	15.1337867129763	1
Z013xZ021	14.6666666666666	1
Z013xZ023	15.7460316869271	1
Z013xZ024	14.4444444444444	1
Z013xZ025	15.6666666666667	1
Z013xZ026	16.6666666666668	1
Z014xZ016	13.5994175644439	1
Z014xZ017	12.7460316869272	1
Z014xZ019	14.2222222222222	1
Z014xZ020	14.1269840324167	1
Z014xZ021	13.8804854997304	1
Z014xZ022	17.1111111111111	1
Z014xZ023	14.6666666666666	1
Z014xZ024	14	1
Z014xZ025	14.3510737350245	1
Z014xZ026	16.3270715233092	1
Z015xZ015	14.9941756444385	1
Z015xZ018	17.3333333333333	1
Z015xZ020	14.4444444444445	1
Z015xZ021	14.2222222222222	1
Z015xZ023	16.4444444444445	1
Z015xZ025	16	1
Z015xZ026	15.3458569533816	1
Z016xZ017	14	1
Z016xZ018	16.6666666666667	1
Z016xZ019	16.8888888888889	1
Z016xZ020	15.1111111111111	1
Z016xZ021	14.2222222222222	1
Z016xZ022	15.4195009986905	1
Z016xZ023	16.5555555555556	1
Z016xZ024	12.8888888888889	1
Z016xZ025	15.3333333333333	1
Z016xZ026	15.4444444444445	1
Z017xZ020	15.1391539787112	1
Z017xZ021	13.5555555555556	1
Z017xZ022	14.1111111111111	1
Z017xZ023	16.4444444444444	1
Z017xZ024	13	1
Z017xZ025	14.8888888888889	1
Z018xZ020	16.2222222222222	1
Z018xZ026	18.019222884535	1
Z019xZ021	16.2222222222223	1
Z019xZ022	16.6666666666667	1
Z019xZ024	14.6666666666667	1
Z020xZ021	14.5333333333334	1
Z020xZ022	15.8187113050511	1
Z020xZ023	16	1
Z020xZ024	13.5555555555555	1
Z020xZ025	16.1994175644438	1
Z020xZ026	16.8888888888889	1
Z021xZ021	11.6507934143751	1
Z021xZ022	15.2944602562095	1
Z021xZ024	14.5730926730176	1
Z021xZ025	14.4444444444445	1
Z022xZ023	16.8888888888889	1
Z022xZ024	13.5029121777808	1
Z023xZ023	15.9896311403914	1
Z023xZ025	17.3333333333333	1
Z023xZ026	17.4444444444444	1
Z024xZ025	14.8888888888889	1
Z024xZ026	15.5555555555556	1
Z025xZ026	15.5555555555556	1
