Genotype	TKW	Fix	pop$	FID$
Z001E0139	81.0342241965006	1	NAMRIL	Z001
Z001E0140	94.9050599244725	1	NAMRIL	Z001
Z001E0141	68.2173491964984	1	NAMRIL	Z001
Z001E0142	90.922224832945	1	NAMRIL	Z001
Z001E0143	75.4960991964801	1	NAMRIL	Z001
Z001E0144	71.6492241964956	1	NAMRIL	Z001
Z001E0145	73.9839276386257	1	NAMRIL	Z001
Z001E0146	73.6795386402626	1	NAMRIL	Z001
Z001E0147	61.0398491964946	1	NAMRIL	Z001
Z001E0148	64.3673957831334	1	NAMRIL	Z001
Z001E0149	87.8279741964904	1	NAMRIL	Z001
Z001E0150	74.5888243545703	1	NAMRIL	Z001
Z001E0151	67.719567873089	1	NAMRIL	Z001
Z001E0152	54.0245386402835	1	NAMRIL	Z001
Z001E0153	71.4152529260041	1	NAMRIL	Z001
Z001E0154	67.5981100688571	1	NAMRIL	Z001
Z001E0155	84.5334501278314	1	NAMRIL	Z001
Z001E0156	71.7660991965084	1	NAMRIL	Z001
Z001E0157	62.9016814974316	1	NAMRIL	Z001
Z001E0158	61.8673957831386	1	NAMRIL	Z001
Z001E0159	71.8716814974303	1	NAMRIL	Z001
Z001E0160	64.5766814974165	1	NAMRIL	Z001
Z001E0161	49.8714434017005	1	NAMRIL	Z001
Z001E0162	58.3108932578328	1	NAMRIL	Z001
Z001E0163	69.0475599244855	1	NAMRIL	Z001
Z001E0164	56.2981975195611	1	NAMRIL	Z001
Z001E0165	95.8854741965048	1	NAMRIL	Z001
Z001E0166	82.9502929543329	1	NAMRIL	Z001
Z001E0167	74.9560991964912	1	NAMRIL	Z001
Z001E0168	79.3195386402934	1	NAMRIL	Z001
Z001E0169	52.8185991965103	1	NAMRIL	Z001
Z001E0170	74.7910736331001	1	NAMRIL	Z001
Z001E0171	60.8504012064101	1	NAMRIL	Z001
Z001E0172	78.6817241965215	1	NAMRIL	Z001
Z001E0173	83.9848491964967	1	NAMRIL	Z001
Z001E0174	83.9638243545709	1	NAMRIL	Z001
Z001E0175	64.8100599244946	1	NAMRIL	Z001
Z001E0176	80.5317241964957	1	NAMRIL	Z001
Z001E0177	85.1416814974328	1	NAMRIL	Z001
Z001E0178	98.4748491964826	1	NAMRIL	Z001
Z001E0179	85.1132122881921	1	NAMRIL	Z001
Z001E0180	75.307974196502	1	NAMRIL	Z001
Z001E0181	76.7059117300886	1	NAMRIL	Z001
Z001E0182	84.3845678730731	1	NAMRIL	Z001
Z001E0183	79.3287345397532	1	NAMRIL	Z001
Z001E0184	99.9873491965018	1	NAMRIL	Z001
Z001E0185	71.9502529260014	1	NAMRIL	Z001
Z001E0186	58.6692043326445	1	NAMRIL	Z001
Z001E0187	62.2592241964923	1	NAMRIL	Z001
Z001E0188	71.3073957831361	1	NAMRIL	Z001
Z001E0189	90.8633932578144	1	NAMRIL	Z001
Z001E0190	65.9056938159278	1	NAMRIL	Z001
Z001E0191	66.589538640277	1	NAMRIL	Z001
Z001E0192	78.8873491965009	1	NAMRIL	Z001
Z001E0193	66.0892265911444	1	NAMRIL	Z001
Z001E0194	64.5582362620998	1	NAMRIL	Z001
Z001E0195	61.3952529259946	1	NAMRIL	Z001
Z001E0196	59.1072214273903	1	NAMRIL	Z001
Z001E0197	74.8445386402901	1	NAMRIL	Z001
Z001E0198	86.6192241965117	1	NAMRIL	Z001
Z001E0199	52.8212985361425	1	NAMRIL	Z001
Z001E0200	95.300893257826	1	NAMRIL	Z001
Z001E0201	86.5791911677409	1	NAMRIL	Z001
Z001E0202	68.064097928625	1	NAMRIL	Z001
Z001E0262	80.9032197413742	1	NAMRIL	Z001
Z001E0274	104.35321974132	1	NAMRIL	Z001
Z001E0279	33.1032197413758	1	NAMRIL	Z001
Z002E0001	66.7556329040701	1	NAMRIL	Z002
Z002E0002	63.6885449009741	1	NAMRIL	Z002
Z002E0003	63.1167265911513	1	NAMRIL	Z002
Z002E0004	58.1366814974307	1	NAMRIL	Z002
Z002E0005	73.4675783967419	1	NAMRIL	Z002
Z002E0006	54.2282982230624	1	NAMRIL	Z002
Z002E0007	75.2510991965175	1	NAMRIL	Z002
Z002E0008	101.577395783125	1	NAMRIL	Z002
Z002E0009	43.4709582132469	1	NAMRIL	Z002
Z002E0010	70.3666814974319	1	NAMRIL	Z002
Z002E0011	63.0166814974234	1	NAMRIL	Z002
Z002E0012	73.274245063412	1	NAMRIL	Z002
Z002E0013	70.9258348384922	1	NAMRIL	Z002
Z002E0014	67.1398491964993	1	NAMRIL	Z002
Z002E0015	59.8077757612144	1	NAMRIL	Z002
Z002E0016	63.0752529259929	1	NAMRIL	Z002
Z002E0017	69.187224832952	1	NAMRIL	Z002
Z002E0018	51.8428306152652	1	NAMRIL	Z002
Z002E0019	69.7960991964847	1	NAMRIL	Z002
Z002E0020	76.3026804226007	1	NAMRIL	Z002
Z002E0021	63.6037985361602	1	NAMRIL	Z002
Z002E0022	67.7104012064296	1	NAMRIL	Z002
Z002E0023	71.1042609599763	1	NAMRIL	Z002
Z002E0024	79.1105917901062	1	NAMRIL	Z002
Z002E0025	91.0652529260089	1	NAMRIL	Z002
