Genotype	CW	Fix
Z013xZ026	42.9337222222216	1
Z014xZ016	56.3891268054101	1
Z014xZ017	50.9957065561871	1
Z014xZ019	45.4477777777777	1
Z014xZ020	43.7062638232325	1
Z014xZ021	44.984038379382	1
Z014xZ022	49.2433333333332	1
Z014xZ023	52.3677777777777	1
Z014xZ024	32.7533333333332	1
Z014xZ025	51.8306854382055	1
Z014xZ026	52.7884867505995	1
Z015xZ015	8.61926805410079	1
Z015xZ018	40.3999999999999	1
Z015xZ020	27.9055555555554	1
Z015xZ021	31.5195555555555	1
Z015xZ023	35.4199999999999	1
Z015xZ025	37.6963333333333	1
Z015xZ026	37.9046931654671	1
Z016xZ017	34.236111111111	1
Z016xZ018	31.5699999999999	1
Z016xZ019	38.0222222222221	1
Z016xZ020	24.4754999999999	1
Z016xZ021	38.7548888888888	1
Z016xZ022	31.6460435569988	1
Z016xZ023	38.2783888888888	1
Z016xZ024	28.2877777777777	1
Z016xZ025	37.9279999999999	1
Z016xZ026	37.6977777777777	1
Z017xZ020	27.2671860568818	1
Z017xZ021	33.9273333333331	1
Z017xZ022	32.1308888888888	1
Z017xZ023	35.5143333333332	1
Z017xZ024	22.2664999999999	1
Z017xZ025	38.034444444444	1
Z018xZ020	25.3366666666665	1
Z018xZ026	28.8836543850366	1
Z019xZ021	36.9188888888888	1
Z019xZ022	32.8499999999999	1
Z019xZ024	30.2669999999999	1
Z020xZ021	24.9933999999998	1
Z020xZ022	30.2068847223542	1
Z020xZ023	37.0988888888888	1
Z020xZ024	19.4177777777776	1
Z020xZ025	29.7671268054101	1
Z020xZ026	26.8998888888888	1
Z021xZ021	11.2791595580813	1
Z021xZ022	34.8438888888888	1
Z021xZ024	23.0194948416849	1
Z021xZ025	28.6888888888888	1
Z022xZ023	38.3444444444443	1
Z022xZ024	23.1466993062821	1
Z023xZ023	8.00392341311354	1
Z023xZ025	34.6973333333332	1
Z023xZ026	35.5935555555554	1
Z024xZ025	22.2328888888888	1
Z024xZ026	22.0555555555555	1
Z025xZ026	36.6077777777777	1
