Genotype	CD	Fix
Z005xZ020	24.5388888888889	1
Z005xZ022	28.2155555555555	1
Z005xZ024	25.8788888888888	1
Z005xZ025	30.353888888889	1
Z005xZ026	31.511111111111	1
Z006xZ007	27.886111111111	1
Z006xZ008	23.8666666666665	1
Z006xZ009	27.9049536510829	1
Z006xZ010	23.9755555555555	1
Z006xZ012	33.0016666666667	1
Z006xZ013	29.7233333333333	1
Z006xZ014	26.1858109279392	1
Z006xZ015	26.6433333333333	1
Z006xZ017	24.9655555555555	1
Z006xZ018	28.5977777777777	1
Z006xZ019	25.0277777777778	1
Z006xZ021	26.9085651264887	1
Z006xZ022	25.4157008937887	1
Z006xZ024	25.2163406861174	1
Z006xZ025	29.9012200930986	1
Z006xZ026	29.159741597077	1
Z007xZ008	26.4877777777777	1
Z007xZ010	25.2955555555555	1
Z007xZ011	26.0855555555555	1
Z007xZ012	33.1133333333331	1
Z007xZ013	32.2566666666665	1
Z007xZ014	28.6344444444444	1
Z007xZ015	29.996111111111	1
Z007xZ017	27.9788888888888	1
Z007xZ018	29.4544444444444	1
Z007xZ021	28.3527777777777	1
Z007xZ022	26.7866666666666	1
Z007xZ023	26.4155555555555	1
Z007xZ024	25.2477777777777	1
Z007xZ025	31.291111111111	1
Z007xZ026	31.8400926978343	1
Z008xZ009	22.3844444444444	1
Z008xZ012	29.411111111111	1
Z008xZ013	25.7218256335073	1
Z008xZ014	25.2011111111111	1
Z008xZ016	24.1544444444444	1
Z008xZ017	22.9633333333333	1
Z008xZ018	27.2577777777777	1
Z008xZ020	21.6733333333334	1
Z008xZ023	24.2799999999999	1
Z008xZ025	28.2199999999999	1
Z008xZ026	26.3616666666669	1
Z009xZ012	30.7177777777778	1
Z009xZ014	26.3511369084885	1
Z009xZ015	28.9994508937888	1
Z009xZ016	27.2322222222222	1
Z009xZ017	25.8144444444444	1
Z009xZ020	22.8088888888888	1
Z009xZ024	23.5388888888888	1
Z009xZ025	30.3819508937887	1
Z009xZ026	30.3894508937888	1
Z010xZ016	23.9933333333332	1
Z010xZ017	23.8167064083768	1
Z010xZ020	22.291111111111	1
Z010xZ021	22.0933333333333	1
Z010xZ022	23.1144444444444	1
Z010xZ024	21.0124717905756	1
Z010xZ025	27.3044444444444	1
Z011xZ012	31.9	1
Z011xZ017	25.1266666666666	1
Z011xZ019	25.931111111111	1
Z011xZ020	25.1444508937887	1
Z011xZ021	25.396111111111	1
Z011xZ022	26.8360814083768	1
Z012xZ013	32.5656239500182	1
Z012xZ015	33.6363426978344	1
Z012xZ017	29.3988888888889	1
Z012xZ018	33.2622222222223	1
Z012xZ021	28.9057008937888	1
Z012xZ022	29.5094508937888	1
Z012xZ025	32.3366666666666	1
Z012xZ026	32.0644444444444	1
Z013xZ015	32.0526827735475	1
Z013xZ016	31.8516020429457	1
Z013xZ018	31.8487449000885	1
Z013xZ021	29.41	1
Z013xZ023	28.4744508937887	1
Z013xZ024	26.2444508937887	1
Z013xZ025	33.9588888888889	1
Z013xZ026	32.4766666666664	1
Z014xZ016	26.9236348732985	1
Z014xZ017	25.3219508937887	1
Z014xZ019	25.451111111111	1
Z014xZ020	26.7657880967287	1
Z014xZ021	26.9526827735476	1
Z014xZ022	27.6922222222222	1
Z014xZ023	25.0455555555555	1
Z014xZ024	24.6811111111111	1
Z014xZ025	29.6326827735476	1
Z014xZ026	30.8269926472159	1
Z015xZ015	22.2113487329849	1
