p2,p1,Genotype,value,trait,pop,FID,p1t,p2t,HPH,pHPH,MPH,pMPH
Z026,Z024,Z024xZ026,549.888888888896,KC,Diallel,Z000,91.8186111176479,72.0491183970844,458.070277771248,4.98886088773788,458.070277771248,4.98886088773788
Z026,Z009,Z009xZ026,513.847950829074,KC,Diallel,Z000,85.9356684283522,72.0491183970844,427.912282400722,4.97944904865072,427.912282400722,4.97944904865072
Z026,Z005,Z005xZ026,460.472950829079,KC,Diallel,Z000,56.0386479526693,72.0491183970844,388.423832431995,5.39109764385004,404.43430287641,7.21706032625909
Z026,Z013,Z013xZ026,608.611111111132,KC,Diallel,Z000,83.5714970844131,72.0491183970844,525.039614026719,6.28252014555144,525.039614026719,6.28252014555144
Z026,Z014,Z014xZ026,762.899083949202,KC,Diallel,Z000,223.648940735537,72.0491183970844,539.250143213665,2.41114552762995,539.250143213665,2.41114552762995
Z026,Z006,Z006xZ026,671.135794348115,KC,Diallel,Z000,150.85262653538,72.0491183970844,520.283167812735,3.4489500100995,520.283167812735,3.4489500100995
Z026,Z025,Z025xZ026,721.222222222229,KC,Diallel,Z000,197.893114257997,72.0491183970844,523.329107964232,2.64450387739089,523.329107964232,2.64450387739089
Z026,Z007,Z007xZ026,437.853411303767,KC,Diallel,Z000,78.7091692819893,72.0491183970844,359.144242021778,4.562927614381,359.144242021778,4.562927614381
Z026,Z023,Z023xZ026,552.94444444445,KC,Diallel,Z000,161.186876178216,72.0491183970844,391.757568266234,2.43045573904595,391.757568266234,2.43045573904595
Z026,Z002,Z002xZ026,717.333333333336,KC,Diallel,Z000,196.158335961917,72.0491183970844,521.174997371419,2.656909760249,521.174997371419,2.656909760249
Z026,Z018,Z018xZ026,514.014561265865,KC,Diallel,Z000,156.584197238157,72.0491183970844,357.430364027708,2.28267200861958,357.430364027708,2.28267200861958
Z026,Z020,Z020xZ026,619.111111111117,KC,Diallel,Z000,86.7942744726479,72.0491183970844,532.316836638469,6.13308700225638,532.316836638469,6.13308700225638
Z026,Z003,Z003xZ026,703.722950829071,KC,Diallel,Z000,102.820803745278,72.0491183970844,600.902147083793,5.84416893464898,600.902147083793,5.84416893464898
Z002,Z001,Z001xZ002,210.974204544945,TKW,Diallel,Z000,59.6185484487999,41.51133438328,151.355656096145,2.5387343374542,151.355656096145,2.5387343374542
Z002,Z002,Z002xZ002,186.656561286494,TKW,Diallel,Z000,41.51133438328,41.51133438328,145.145226903214,3.49652038556669,145.145226903214,3.49652038556669
Z003,Z001,Z001xZ003,214.882222222224,TKW,Diallel,Z000,59.6185484487999,27.3968115781737,155.263673773424,2.60428470355604,155.263673773424,2.60428470355604
Z003,Z002,Z002xZ003,168.26118417161,TKW,Diallel,Z000,41.51133438328,27.3968115781737,126.74984978833,3.05337931606898,126.74984978833,3.05337931606898
Z005,Z001,Z001xZ005,224.161111111113,TKW,Diallel,Z000,59.6185484487999,13.9825122788476,164.542562662313,2.75992232188647,164.542562662313,2.75992232188647
Z005,Z002,Z002xZ005,196.260000000002,TKW,Diallel,Z000,41.51133438328,13.9825122788476,154.748665616722,3.72786536293692,154.748665616722,3.72786536293692
Z006,Z001,Z001xZ006,185.77888888889,TKW,Diallel,Z000,59.6185484487999,32.629713343418,126.16034044009,2.11612566428778,126.16034044009,2.11612566428778
Z006,Z002,Z002xZ006,190.977222222226,TKW,Diallel,Z000,41.51133438328,32.629713343418,149.465887838946,3.6006042701231,149.465887838946,3.6006042701231
