Genotype	pop	FID	CD	KRN	AKW	CL	CW	KC	TKW
B73xZ002E0001	BxRIL	Z002	27.8062021648797	15.1999999956218	0.393548883250008	166.523076039742	27.0053381891243	380.749999999995	144.245
B73xZ002E0023	BxRIL	Z002	26.5883333333335	16.9999999999999	0.299961142144594	168.976666666667	28.2283333333335	623.894170837977	185.841259964557
B73xZ002E0046	BxRIL	Z002	27.5733333333335	18.6666666666665	0.274663396666668	152.935	24.5866666666668	559.333333333337	151.915000000001
B73xZ002E0106	BxRIL	Z002	26.47420216488	17.1999999956221	0.35169745436147	165.517076039743	26.5813381891243	406.235427094939	139.290649911388
B73xZ002E0116	BxRIL	Z002	24.0602021648805	16.7999999956221	0.27328439511148	172.017076039741	21.7313381891252	569.235427094929	155.300649911387
B73xZ002E0126	BxRIL	Z002	28.6516666666669	16.3333333333332	0.307462851166666	186.378333333335	34.3166666666672	551.666666666665	167.798333333332
B73xZ002E0136	BxRIL	Z002	28.4302021648798	16.399999995622	0.341111128144587	158.583076039741	27.8713381891252	491.294170837973	166.333259964553
B73xZ002E0152	BxRIL	Z002	28.215	16.9999999999999	0.310145193833336	184.171666666665	31.1483333333319	567.666666666674	173.073333333336
B73xZ002E0156	BxRIL	Z002	27.0633333333335	15.3333333333332	0.341102310666667	179.663333333335	27.5400000000004	471.16666666667	162.555
B73xZ002E0159	BxRIL	Z002	27.0816666666668	15.0000000000002	0.298352808944595	193.806666666666	28.6033333333331	548.694170837976	163.739259964557
B73xZ002E0163	BxRIL	Z002	25.5602021648798	15.4999999890553	0.284600883111481	154.779076039741	24.6193381891252	510.485427094923	141.635649911387
B73xZ002E0175	BxRIL	Z002	28.6100000000001	16.6666666666666	0.356362501333333	199.381666666667	35.2333333333334	593.166666666667	209.959999999999
B73xZ002E0187	BxRIL	Z002	29.0383333333336	17.3333333333333	0.342114332544596	174.043333333334	28.8533333333338	505.694170837971	173.095259964556
B73xZ002E0193	BxRIL	Z002	28.1900000000002	19.6666666666665	0.300935120500002	169.578333333334	29.0800000000008	652.16666666668	194.148333333337
B73xZ002E0197	BxRIL	Z002	26.9562021648798	16.7999999956221	0.316638540744591	176.077076039741	28.1353381891247	505.294170837971	155.635259964554
B73xZ002E0217	BxRIL	Z002	27.0662021648798	16.7999999956221	0.312336776544593	167.663076039742	28.4753381891252	508.094170837971	158.441259964555
B73xZ003E0008	BxRIL	Z003	25.9130054121993	16.9999999890553	0.310059626361481	197.932690099354	34.9308454728132	536.235427094924	166.358149911387
B73xZ003E0022	BxRIL	Z003	28.7666666666671	17.6666666666665	0.327183963944596	163.445	31.7750000000017	321.094170837957	100.249259964552
B73xZ003E0071	BxRIL	Z003	29.7249999999998	19	0.317619401744596	164.815000000001	31.1233333333321	441.294170837966	137.345259964554
B73xZ003E0075	BxRIL	Z003	27.3862021648798	15.5999999956224	0.346391992111476	152.687076039745	22.4393381891251	392.485427094931	126.775649911388
B73xZ003E0077	BxRIL	Z003	29.9466666666667	17.3333333333333	0.339111788499995	149.960000000002	26.8983333333332	319.500000000027	105.761666666672
B73xZ003E0088	BxRIL	Z003	25.3166666666669	15.6666666666666	0.300545558000003	175.931666666667	25.3916666666666	526.000000000005	158.236666666668
B73xZ003E0098	BxRIL	Z003	27.4430054121993	16.9999999890553	0.334455116111481	165.445190099353	28.6408454728131	376.485427094924	127.408149911387
B73xZ003E0195	BxRIL	Z003	27.0150000000002	15.9999999999998	0.29050396761148	147.895000000002	20.2133333333335	355.735427094939	96.9981499113914
B73xZ003E0197	BxRIL	Z003	28.9433333333334	17.3333333333332	0.313366747166667	177.648333333334	33.028333333333	496.66666666667	160.13
B73xZ003E0212	BxRIL	Z003	28.356666666667	16.3333333333332	0.327364917499997	171.115000000001	30.0483333333349	431.333333333344	140.461666666668
B73xZ004E0001	BxRIL	Z004	26.0600000000001	18.9999999999998	0.303186644344592	159.605	25.7450000000003	584.694170837967	177.021259964554
B73xZ004E0005	BxRIL	Z004	25.0900000000004	16.9999999999999	0.249661828944596	143.215000000004	18.8316666666672	438.294170837978	108.311259964558
B73xZ004E0021	BxRIL	Z004	26.36	16.6666666666666	0.281715809166668	164.441666666667	26.6650000000007	558.666666666671	157.986666666668
B73xZ004E0027	BxRIL	Z004	27.9662021648798	19.199999995622	0.253684153344595	150.909076039742	25.103338189125	560.494170837968	147.123259964555
B73xZ004E0040	BxRIL	Z004	25.8780054121994	16.4999999890553	0.287289754389627	159.860190099354	24.2158454728125	566.47085418984	163.772966489438
B73xZ004E0043	BxRIL	Z004	27.8066666666668	16.9999999999999	0.304124791944594	179.41	33.5749999999993	531.494170837972	161.487259964556
B73xZ004E0046	BxRIL	Z004	25.7083333333333	18.3333333333332	0.269307927144594	156.631666666666	28.5850000000009	604.294170837966	160.503259964554
B73xZ004E0049	BxRIL	Z004	24.92779783512	17.9999999999999	0.312691818250002	141.676923960254	20.9366618108747	313.749999999997	92.2324999999988
B73xZ004E0052	BxRIL	Z004	29.2766666666671	16.9999999999999	0.323889956833335	179.911666666669	30.741666666668	436.000000000001	139.123333333334
B73xZ004E0054	BxRIL	Z004	28.1400000000002	17.3333333333332	0.280923576500002	153.561666666666	27.1983333333339	428.666666666685	119.238333333339
B73xZ004E0058	BxRIL	Z004	24.5080054121995	17.4999999890553	0.262183939722961	157.970190099354	21.1808454728128	529.804187523177	138.606299822772
B73xZ004E0061	BxRIL	Z004	27.6950000000002	18.6666666666664	0.253835191744593	170.065000000001	28.1766666666669	651.094170837973	165.075259964555
B73xZ004E0063	BxRIL	Z004	29.6950000000002	16.6666666666666	0.308888480000004	150.566666666667	30.0733333333336	425.333333333328	131.988333333332
B73xZ004E0069	BxRIL	Z004	31.2557978351205	19.600000004378	0.288755635655409	175.87892396026	33.526661810875	715.305829162019	206.342740035441
B73xZ004E0071	BxRIL	Z004	26.4950000000003	15.9999999999999	0.312457981944593	151.208333333338	22.2733333333335	440.494170837971	135.397259964555
B73xZ004E0081	BxRIL	Z004	24.7783333333335	16.6666666666666	0.277665080344592	144.963333333334	21.5366666666667	464.294170837968	129.277259964554
B73xZ004E0083	BxRIL	Z004	24.2376774910649	15.3333333114442	0.382213119056285	162.778713532038	24.8233576122921	265.137520856534	103.886299822777
B73xZ004E0096	BxRIL	Z004	26.5682021648798	17.1999999956221	0.286467021344593	148.31507603974	24.4573381891253	476.294170837975	138.359259964556
B73xZ004E0098	BxRIL	Z004	27.0182021648798	19.9999999956226	0.251794933861481	159.837076039741	23.3373381891251	574.235427094924	144.978149911387
B73xZ004E0102	BxRIL	Z004	24.0550000000004	15	0.292317513861481	145.556666666669	19.8616666666669	498.985427094924	147.148149911386
B73xZ004E0111	BxRIL	Z004	26.3583333333337	14.6666666666664	0.311249907944591	166.180000000001	25.6316666666661	434.694170837976	130.591259964556
B73xZ004E0115	BxRIL	Z004	29.8405054121993	19.4999999890553	0.302252091861481	184.787690099353	32.9958454728126	635.235427094928	191.240649911388
B73xZ004E0126	BxRIL	Z004	27.7266666666669	17.3333333333333	0.279010973500001	163.271666666667	29.3000000000005	617.333333333335	171.565
B73xZ004E0136	BxRIL	Z004	28.9433333333337	18.6666666666664	0.313151743944595	166.596666666667	30.1166666666677	458.494170837966	133.845259964554
B73xZ004E0141	BxRIL	Z004	29.8300000000004	18.3333333333332	0.309809186344592	192.34166666667	37.2583333333348	572.494170837969	176.333259964554
B73xZ004E0161	BxRIL	Z004	24.8300000000001	13.6666666666665	0.293578967500002	167.320000000001	23.5900000000001	443.166666666662	130.709999999999
B73xZ004E0162	BxRIL	Z004	27.1343441577318	18.6666666447774	0.281146602389627	155.655380198704	27.7166909456258	626.804187523181	175.09296648944
B73xZ004E0163	BxRIL	Z004	29.9650000000003	17.3333333333332	0.327713451544597	170.286666666667	32.0350000000005	290.094170837949	94.0312599645495
B73xZ004E0175	BxRIL	Z004	28.9830054121994	17.4999999890553	0.331207135111482	184.017690099354	38.5558454728132	603.735427094924	200.120649911387
B73xZ004E0190	BxRIL	Z004	28.7076774910651	18.6666666447773	0.315230000389626	174.288713532038	36.7000242789575	482.470854189845	152.632966489439
B73xZ004E0191	BxRIL	Z004	29.7583333333332	16.3333333333333	0.3300956998554	182.279999999999	37.0933333333316	538.705829162028	177.30674003544
