Genotype,KC,TKW,AKW,Note,RIL
B73 x Z010E0182,292.6666667,82.7,0.278760411,Bx,Z010E0182
B73 x Z011E0008,556,171.2583333,0.321346659,Bx,Z011E0008
B73 x Z011E0009,322.5,98.3425,0.305181244,Bx,Z011E0009
B73 x Z011E0016,112.1940341,37.90044607,0.323549762,Bx,Z011E0016
B73 x Z011E0062,417.6611932,133.6259108,0.329638835,Bx,Z011E0062
B73 x Z011E0079,493.5,152.85,0.318930428,Bx,Z011E0079
B73 x Z011E0144,288.1940341,95.95544607,0.333687516,Bx,Z011E0144
B73 x Z011E0146,457.2611932,139.0779108,0.316427871,Bx,Z011E0146
B73 x Z011E0160,405.5,122.7516667,0.297858806,Bx,Z011E0160
B73 x Z011E0162,163.6940341,60.30544607,0.377412332,Bx,Z011E0162
B73 x Z011E0169,435.5388068,132.0740892,0.302705941,Bx,Z011E0169
B73 x Z011E0175,306.2611932,95.62991079,0.322493919,Bx,Z011E0175
B73 x Z011E0182,313.3607007,105.6537794,0.331352414,Bx,Z011E0182
B73 x Z011E0195,658.6666667,196.5833333,0.300130495,Bx,Z011E0195
B73 x Z011E0198,454.347017,120.237723,0.281475554,Bx,Z011E0198
B73 x Z012E0008,491.1388068,135.7240892,0.285252891,Bx,Z012E0008
B73 x Z012E0055,638.1388068,192.5820892,0.300944678,Bx,Z012E0055
B73 x Z012E0058,563.5388068,175.5760892,0.313622766,Bx,Z012E0058
B73 x Z012E0098,518.9388068,177.6920892,0.342438074,Bx,Z012E0098
B73 x Z012E0102,534.1388068,147.0240892,0.279234659,Bx,Z012E0102
B73 x Z012E0117,470.3388068,143.8380892,0.305164418,Bx,Z012E0117
B73 x Z012E0159,509.9388068,167.8720892,0.329653484,Bx,Z012E0159
B73 x Z013E0060,542.75,155.225,0.286147564,Bx,Z013E0060
B73 x Z013E0204,443.9388068,172.3660892,0.388254764,Bx,Z013E0204
B73 x Z013E0207,555,155.52,0.281480603,Bx,Z013E0207
B73 x Z013E0213,536,152.4933333,0.284625725,Bx,Z013E0213
B73 x Z013E0216,605.5,173.0016667,0.28721838,Bx,Z013E0216
B73 x Z013E0224,445.347017,146.360223,0.330334561,Bx,Z013E0224
B73 x Z013E0227,512.75,145.9625,0.283520129,Bx,Z013E0227
B73 x Z013E0231,336.5,102.49,0.307513593,Bx,Z013E0231
B73 x Z013E0233,423.1388068,123.1500892,0.295245878,Bx,Z013E0233
B73 x Z013E0234,501.9388068,159.7900892,0.31933315,Bx,Z013E0234
B73 x Z013E0236,418.9388068,141.8660892,0.333155986,Bx,Z013E0236
B73 x Z013E0238,454.847017,143.037723,0.315448508,Bx,Z013E0238
B73 x Z013E0239,587.3607007,194.7304461,0.330466101,Bx,Z013E0239
B73 x Z013E0240,414.0273674,152.0304461,0.365492511,Bx,Z013E0240
B73 x Z013E0251,501.6666667,161.0516667,0.320157719,Bx,Z013E0251
B73 x Z013E0256,514.6611932,168.6799108,0.332665916,Bx,Z013E0256
B73 x Z013E0288,532.5388068,175.0380892,0.329249211,Bx,Z013E0288
B73 x Z013E0289,481.3607007,164.2437794,0.342457339,Bx,Z013E0289
B73 x Z013E0290,505.1940341,186.3304461,0.369109961,Bx,Z013E0290
B73 x Z013E0291,419.847017,149.232723,0.348458985,Bx,Z013E0291
B73 x Z013E0292,574.8333333,173.7733333,0.303533993,Bx,Z013E0292
B73 x Z013E0308,414.847017,125.110223,0.310639445,Bx,Z013E0308
B73 x Z013E0311,472.597017,168.385223,0.363025676,Bx,Z013E0311
B73 x Z013E0316,499.0273674,169.9437794,0.339059212,Bx,Z013E0316
B73 x Z013E0319,420.097017,134.200223,0.320630697,Bx,Z013E0319
B73 x Z013E0323,473.3607007,171.9637794,0.360854854,Bx,Z013E0323
B73 x Z014E0005,658.3333333,216.0333333,0.328153092,Bx,Z014E0005
B73 x Z014E0012,664,184.1416667,0.278584664,Bx,Z014E0012
B73 x Z014E0017,583.5,188.4183333,0.323614996,Bx,Z014E0017
B73 x Z014E0021,544,162.82,0.304367034,Bx,Z014E0021
B73 x Z014E0052,750.3059659,243.8895539,0.325466683,Bx,Z014E0052
B73 x Z014E0075,459.1666667,153.8566667,0.336837593,Bx,Z014E0075
B73 x Z014E0084,528.7388068,158.3180892,0.29959848,Bx,Z014E0084
B73 x Z014E0098,420.597017,134.920223,0.328775086,Bx,Z014E0098
B73 x Z014E0099,438.8333333,141.1733333,0.344774451,Bx,Z014E0099
B73 x Z014E0144,604.2611932,212.8419108,0.352073699,Bx,Z014E0144
B73 x Z014E0146,601.8333333,177.01,0.293662545,Bx,Z014E0146
B73 x Z014E0162,570.5388068,140.9900892,0.250605315,Bx,Z014E0162
B73 x Z014E0166,599.8333333,192.6216667,0.331865344,Bx,Z014E0166
B73 x Z014E0167,621.5,203.575,0.329425011,Bx,Z014E0167
B73 x Z014E0168,582,187.0233333,0.317571564,Bx,Z014E0168
B73 x Z014E0197,634.1388068,204.0080892,0.320304205,Bx,Z014E0197
B73 x Z014E0199,520.5388068,168.8560892,0.324268844,Bx,Z014E0199
B73 x Z015E0013,474.5388068,141.8100892,0.29976376,Bx,Z015E0013
B73 x Z015E0019,575.097017,143.007723,0.2480155,Bx,Z015E0019
B73 x Z015E0022,543.8333333,146.8516667,0.271982487,Bx,Z015E0022
B73 x Z015E0023,422.7388068,144.1000892,0.341168222,Bx,Z015E0023
B73 x Z015E0026,464.3388068,131.5860892,0.287291146,Bx,Z015E0026
B73 x Z015E0029,659.3607007,210.1537794,0.317790224,Bx,Z015E0029
B73 x Z015E0033,565,163.135,0.29042222,Bx,Z015E0033
B73 x Z015E0036,383.847017,132.357723,0.351937602,Bx,Z015E0036
B73 x Z015E0038,476.097017,131.560223,0.285107538,Bx,Z015E0038
