I,Row,Pedigree,Genotype,FBNote,Farm
JLY,1465,10-2161-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1466,10-2158-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1467,10-2157-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1468,10-2156-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1469,10-2154-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1470,10-2152-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1471,10-2150-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1472,10-2148-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1473,10-2146-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1474,10-2142-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1475,10-2141-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1476,10-2140-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1477,10-2139-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1478,10-2133-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1479,10-2132-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1480,10-2131-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1481,10-2125-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1482,10-2124-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1483,10-2119-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1484,10-2113-7@,[B73 x M0027(B73-2)]@,BC2F3,Curtiss
JLY,1485,10-2103-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1486,10-2097-9@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1487,10-2206-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1488,10-2203-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1489,10-2196-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1490,10-2194-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1491,10-2193-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1492,10-2188-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1493,10-2187-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1494,10-2185-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1495,10-2184-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1496,10-2181-9@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1497,10-2180-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1498,10-2179-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1499,10-2178-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1500,10-2177-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1501,10-2176-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1502,10-2175-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1503,10-2249-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1504,10-2248-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1505,10-2245-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1506,10-2244-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1507,10-2243-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1508,10-2242-9@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1509,10-2241-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1510,10-2240-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1511,10-2238-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1512,10-2237-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1513,10-2234-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1514,10-2232-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1515,10-2230-11@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1516,10-2229-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1517,10-2228-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1518,10-2227-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1519,10-2225-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1520,10-2222-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1521,10-2221-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1522,10-2218-7@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1523,10-2215-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1524,10-2211-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1525,10-2210-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1526,10-2209-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1527,10-2208-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1528,10-2298-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1529,10-2297-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1530,10-2291-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1531,10-2289-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1532,10-2287-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1533,10-2284-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1534,10-2282-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1535,10-2281-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1536,10-2277-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1537,10-2274-8@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1538,10-2273-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1539,10-2270-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1540,10-2268-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1541,10-2266-4@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1542,10-2262-10@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1543,10-2260-1@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1544,10-2258-6@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1545,10-2257-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1546,10-2255-5@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1547,10-2252-3@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1548,10-2251-2@,[B73 x M0057(B73-2)]@,BC2F3,Curtiss
JLY,1549,Ac4192,792,Off-PVP,Curtiss
JLY,1550,Ac4226,LH195,Off-PVP,Curtiss
JLY,1551,Ac4227,LH205,Off-PVP,Curtiss
JLY,1552,Ac4228,LH127,Off-PVP,Curtiss
JLY,1553,Ac4229,LH196,Off-PVP,Curtiss
JLY,1554,Ac4230,LH220Ht,Off-PVP,Curtiss
JLY,1555,Ac4231,LH160,Off-PVP,Curtiss
JLY,1556,Ac4232,LH162,Off-PVP,Curtiss
JLY,1557,Ac4233,LH190,Off-PVP,Curtiss
JLY,1558,Ac4234,LH194,Off-PVP,Curtiss
JLY,1559,Ac4235,LH202,Off-PVP,Curtiss
JLY,1560,Ac4236,LH191,Off-PVP,Curtiss
JLY,1561,Ac4237,LH192,Off-PVP,Curtiss
JLY,1562,Ac4238,LH193,Off-PVP,Curtiss
JLY,1563,Ac4239,RS 710,Off-PVP,Curtiss
JLY,1564,Ac4240,PHJ65,Off-PVP,Curtiss
JLY,1565,Ac4241,PHN34,Off-PVP,Curtiss
JLY,1566,Ac4242,PHP76,Off-PVP,Curtiss
JLY,1567,Ac4243,PHV07,Off-PVP,Curtiss
JLY,1568,Ac4244,PHW51,Off-PVP,Curtiss
JLY,1569,Ac4245,BCC03,Off-PVP,Curtiss
JLY,1570,Ac4246,FBLA,Off-PVP,Curtiss
JLY,1571,Ac4247,6F629,Off-PVP,Curtiss
JLY,1572,Ac4248,6M502A,Off-PVP,Curtiss
JLY,1573,Ac4249,NL001,Off-PVP,Curtiss
JLY,1574,Ac4250,LH128,Off-PVP,Curtiss
JLY,1575,Ac4251,LH208,Off-PVP,Curtiss
JLY,1576,Ac4252,Lp215D,Off-PVP,Curtiss
JLY,1577,Ac4253,PHJ89,Off-PVP,Curtiss
JLY,1578,Ac4254,PHK93,Off-PVP,Curtiss
JLY,1579,Ac4255,PHM81,Off-PVP,Curtiss
JLY,1580,Ac4256,PHN66,Off-PVP,Curtiss
JLY,1581,Ac4257,PHR55,Off-PVP,Curtiss
JLY,1582,Ac4258,PHR58,Off-PVP,Curtiss
JLY,1583,Ac4259,PHW30,Off-PVP,Curtiss
JLY,1584,Ac4260,29MIBZ2,Off-PVP,Curtiss
JLY,1585,Ac4261,MBSJ,Off-PVP,Curtiss
JLY,1586,Ac4262,MBUB,Off-PVP,Curtiss
JLY,1587,Ac4265,L 155,Off-PVP,Curtiss
JLY,1588,Ac4266,LH215,Off-PVP,Curtiss
JLY,1589,Ac4267,MM402A,Off-PVP,Curtiss
JLY,1590,Ac4268,F118,Off-PVP,Curtiss
JLY,1591,Ac4269,LIBC 4,Off-PVP,Curtiss
JLY,1592,Ac4270,83IBI3,Off-PVP,Curtiss
JLY,1593,Ac4271,NQ508,Off-PVP,Curtiss
JLY,1594,Ac4272,PHBA6,Off-PVP,Curtiss
JLY,1595,Ac4273,PHP85,Off-PVP,Curtiss
JLY,1596,Ac4274,PHPR5,Off-PVP,Curtiss
JLY,1597,Ac4275,PHR30,Off-PVP,Curtiss
JLY,1598,Ac4276,PHT69,Off-PVP,Curtiss
JLY,1599,Ac4277,PHV53,Off-PVP,Curtiss
JLY,1600,Ac4278,PHVA9,Off-PVP,Curtiss
JLY,1601,Ac4279,PHWG5,Off-PVP,Curtiss
JLY,1602,Ac4280,904,Off-PVP,Curtiss
JLY,1603,Ac4281,ML606,Off-PVP,Curtiss
JLY,1604,Ac4285,ZS01250,Off-PVP,Curtiss
JLY,1605,Ac4286,LP1 NR HT,Off-PVP,Curtiss
JLY,1606,Ac4287,Seagull Seventeen,Off-PVP,Curtiss
JLY,1607,Ac4288,LP1 CMS HT,Off-PVP,Curtiss
JLY,1608,Ac4289,FR19,Off-PVP,Curtiss
JLY,1609,Ac4290,LH38,Off-PVP,Curtiss
JLY,1610,Ac4291,LH39,Off-PVP,Curtiss
JLY,1611,Ac4292,LH119,Off-PVP,Curtiss
JLY,1612,Ac4293,LH51,Off-PVP,Curtiss
