Phenotype Name,Evaluation Locality,Planting Date,Rep,Accession,Source,Plant Name,Plant ID,Phenotype Value
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC350,NCSU,NC350 Row,1865,mean=13.33333333
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC352,NCSU,NC352 Row,1878,mean=11.53846154
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,NC354,NCSU,NC354 Row,1886,mean=11.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,Oh7B,OHW,Oh7B Row,1931,mean=12.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,P39,PURD-AG,P39 Row,1937,mean=13.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,Q6199,QUEEN,Q6199 Row,1962,mean=14.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,SC213R,SC,SC213R Row,1991,mean=10.57142857
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,T232,TENN,T232 Row,2035,mean=10.0
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,Tzi10,IITA,Tzi10 Row,2064,mean=11.6
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,W64A,WISC,W64A Row,2165,mean=12.4
Ear Row Number,27 Farms,29-Sep-99,1999_Winter,Wf9,PURD-AG,Wf9 Row,2172,mean=9.333333333
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,38-11,PURD-AG,38-11 Row,865,mean=15.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,A441-5,NATAL,A441-5 Row,893,mean=11.2
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,A6,PHI,A6 Row,926,mean=16.2
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,A632,MINN,A632 Row,948,mean=14.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,B104,ISU,B104 Row,981,mean=13.5
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,B14A,ISU,B14A Row,985,mean=12.5
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,B97,ISU,B97 Row,1059,mean=12.14
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,C103,UIUC-CS,C103 Row,1071,mean=11.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CI187-2,ISU,CI187-2 Row,1081,mean=12.25
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CM174,AGCAN,CM174 Row,1111,mean=9.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML247,CIMMYT,CML247 Row,1159,mean=14.33
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML254,CIMMYT,CML254 Row,1169,mean=10.4
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML258,CIMMYT,CML258 Row,1179,mean=12.25
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML277,CIMMYT,CML277 Row,1200,mean=12.33
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML281,CIMMYT,CML281 Row,1206,mean=14.4
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML287,CIMMYT,CML287 Row,1216,mean=13.8
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML333,CIMMYT,CML333 Row,1222,mean=12.33
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML5,CIMMYT,CML5 Row,1234,mean=13.0
Ear Row Number,27 Farms,26-Sep-00,2000_Winter,CML61,CIMMYT,CML61 Row,1249,mean=14.0
