Genotype,KRN,Note,RIL
B73 x Z015E0230,17.33333333,Bx,Z015E0230
B73 x Z015E0236,16,Bx,Z015E0236
B73 x Z016E0002,17,Bx,Z016E0002
B73 x Z016E0019,15.33333333,Bx,Z016E0019
B73 x Z016E0021,16.79999999,Bx,Z016E0021
B73 x Z016E0027,18.66666667,Bx,Z016E0027
B73 x Z016E0028,16.33333333,Bx,Z016E0028
B73 x Z016E0030,17.59999999,Bx,Z016E0030
B73 x Z016E0047,18.79999999,Bx,Z016E0047
B73 x Z016E0058,16.66666667,Bx,Z016E0058
B73 x Z016E0063,16.99999997,Bx,Z016E0063
B73 x Z016E0065,16.66666667,Bx,Z016E0065
B73 x Z016E0070,16.66666667,Bx,Z016E0070
B73 x Z016E0075,16.66666667,Bx,Z016E0075
B73 x Z016E0077,16,Bx,Z016E0077
B73 x Z016E0079,17.33333333,Bx,Z016E0079
B73 x Z016E0080,16,Bx,Z016E0080
B73 x Z016E0081,17,Bx,Z016E0081
B73 x Z016E0084,16,Bx,Z016E0084
B73 x Z016E0103,16.33333333,Bx,Z016E0103
B73 x Z016E0112,17.66666667,Bx,Z016E0112
B73 x Z016E0115,16.66666667,Bx,Z016E0115
B73 x Z016E0117,16,Bx,Z016E0117
B73 x Z016E0118,17.59999999,Bx,Z016E0118
B73 x Z016E0119,18.33333333,Bx,Z016E0119
B73 x Z016E0121,18.66666661,Bx,Z016E0121
B73 x Z016E0122,19.33333328,Bx,Z016E0122
B73 x Z016E0128,17.59999999,Bx,Z016E0128
B73 x Z016E0132,17.33333328,Bx,Z016E0132
B73 x Z016E0133,16.33333333,Bx,Z016E0133
B73 x Z016E0134,14.49999997,Bx,Z016E0134
B73 x Z016E0135,16.33333333,Bx,Z016E0135
B73 x Z016E0136,14.99999994,Bx,Z016E0136
B73 x Z016E0137,16.66666667,Bx,Z016E0137
B73 x Z016E0138,18,Bx,Z016E0138
B73 x Z016E0143,15,Bx,Z016E0143
B73 x Z016E0144,18.66666667,Bx,Z016E0144
B73 x Z016E0149,16.66666667,Bx,Z016E0149
B73 x Z016E0150,18,Bx,Z016E0150
B73 x Z016E0153,14.33333333,Bx,Z016E0153
B73 x Z016E0157,16.66666667,Bx,Z016E0157
B73 x Z016E0160,15.33333333,Bx,Z016E0160
B73 x Z016E0161,19,Bx,Z016E0161
B73 x Z016E0162,19.19999999,Bx,Z016E0162
B73 x Z016E0194,16,Bx,Z016E0194
B73 x Z016E0198,19,Bx,Z016E0198
B73 x Z016E0220,16,Bx,Z016E0220
B73 x Z016E0251,16.79999999,Bx,Z016E0251
B73 x Z016E0254,16.33333333,Bx,Z016E0254
B73 x Z018E0023,15.33333333,Bx,Z018E0023
B73 x Z018E0027,19,Bx,Z018E0027
B73 x Z018E0030,17.33333333,Bx,Z018E0030
B73 x Z018E0032,16.79999999,Bx,Z018E0032
B73 x Z018E0039,17,Bx,Z018E0039
B73 x Z018E0042,17.33333333,Bx,Z018E0042
B73 x Z018E0049,19,Bx,Z018E0049
B73 x Z018E0053,16.66666667,Bx,Z018E0053
B73 x Z018E0061,16,Bx,Z018E0061
B73 x Z018E0067,20.33333333,Bx,Z018E0067
B73 x Z018E0077,17,Bx,Z018E0077
B73 x Z018E0078,19.59999999,Bx,Z018E0078
B73 x Z018E0096,17.66666667,Bx,Z018E0096
B73 x Z018E0114,16.33333333,Bx,Z018E0114
B73 x Z018E0121,15,Bx,Z018E0121
B73 x Z018E0122,15.19999999,Bx,Z018E0122
B73 x Z018E0130,16.66666661,Bx,Z018E0130
B73 x Z018E0138,17.66666667,Bx,Z018E0138
B73 x Z018E0139,14.33333333,Bx,Z018E0139
B73 x Z018E0141,18.33333333,Bx,Z018E0141
B73 x Z018E0148,17.66666667,Bx,Z018E0148
B73 x Z018E0150,19.33333333,Bx,Z018E0150
B73 x Z018E0158,16.66666667,Bx,Z018E0158
B73 x Z018E0160,18,Bx,Z018E0160
B73 x Z018E0163,17.99999997,Bx,Z018E0163
B73 x Z018E0164,17.33333333,Bx,Z018E0164
B73 x Z018E0171,17.19999999,Bx,Z018E0171
B73 x Z018E0172,19.33333333,Bx,Z018E0172
B73 x Z018E0173,19,Bx,Z018E0173
B73 x Z018E0177,16.66666667,Bx,Z018E0177
B73 x Z018E0179,15.33333333,Bx,Z018E0179
B73 x Z019E0004,18.66666669,Bx,Z019E0004
B73 x Z019E0032,16,Bx,Z019E0032
B73 x Z019E0069,17,Bx,Z019E0069
B73 x Z019E0075,16.33333333,Bx,Z019E0075
B73 x Z019E0111,16.33333333,Bx,Z019E0111
B73 x Z019E0119,16.66666665,Bx,Z019E0119
B73 x Z019E0124,17.33333333,Bx,Z019E0124
B73 x Z019E0125,16.66666667,Bx,Z019E0125
B73 x Z019E0138,18.66666667,Bx,Z019E0138
B73 x Z019E0170,16.49999997,Bx,Z019E0170
B73 x Z019E0177,16.79999999,Bx,Z019E0177
B73 x Z019E0178,15,Bx,Z019E0178
B73 x Z019E0194,17.19999999,Bx,Z019E0194
B73 x Z019E0226,18.33333333,Bx,Z019E0226
B73 x Z020E0009,16.00000003,Bx,Z020E0009
B73 x Z020E0012,15.33333333,Bx,Z020E0012
B73 x Z020E0015,16.66666667,Bx,Z020E0015
B73 x Z020E0019,18,Bx,Z020E0019
B73 x Z020E0025,15.33333333,Bx,Z020E0025
B73 x Z020E0027,16.33333333,Bx,Z020E0027
B73 x Z020E0029,16,Bx,Z020E0029
B73 x Z020E0032,16,Bx,Z020E0032
B73 x Z020E0034,17.66666667,Bx,Z020E0034
B73 x Z020E0038,17.33333333,Bx,Z020E0038
B73 x Z020E0039,15.33333333,Bx,Z020E0039
B73 x Z020E0041,17,Bx,Z020E0041
B73 x Z020E0043,15,Bx,Z020E0043
B73 x Z020E0047,16.33333333,Bx,Z020E0047
B73 x Z020E0049,14.33333333,Bx,Z020E0049
B73 x Z020E0050,17.66666667,Bx,Z020E0050
B73 x Z020E0056,19.59999999,Bx,Z020E0056
B73 x Z020E0057,19,Bx,Z020E0057
B73 x Z020E0059,18,Bx,Z020E0059
B73 x Z020E0062,15.33333333,Bx,Z020E0062
B73 x Z020E0069,15.33333333,Bx,Z020E0069
B73 x Z020E0075,18,Bx,Z020E0075
B73 x Z020E0077,15.19999999,Bx,Z020E0077
B73 x Z020E0090,18,Bx,Z020E0090
B73 x Z020E0099,16,Bx,Z020E0099
B73 x Z020E0103,16.66666667,Bx,Z020E0103
B73 x Z020E0106,16.00000001,Bx,Z020E0106
B73 x Z020E0117,17.66666667,Bx,Z020E0117
B73 x Z020E0120,20,Bx,Z020E0120
B73 x Z020E0122,17.33333333,Bx,Z020E0122
B73 x Z020E0152,15,Bx,Z020E0152
B73 x Z020E0155,17.33333333,Bx,Z020E0155
B73 x Z020E0159,17,Bx,Z020E0159
B73 x Z021E0014,16.33333333,Bx,Z021E0014
B73 x Z021E0022,16,Bx,Z021E0022
B73 x Z021E0025,16.33333333,Bx,Z021E0025
B73 x Z021E0028,18.49999997,Bx,Z021E0028
B73 x Z021E0034,16.33333333,Bx,Z021E0034
B73 x Z021E0040,16.33333333,Bx,Z021E0040
B73 x Z021E0042,15.66666667,Bx,Z021E0042
B73 x Z021E0050,17.33333333,Bx,Z021E0050
B73 x Z021E0051,15.66666667,Bx,Z021E0051
B73 x Z021E0052,16.33333333,Bx,Z021E0052
B73 x Z021E0053,13.66666667,Bx,Z021E0053
B73 x Z021E0054,18,Bx,Z021E0054
B73 x Z021E0057,16.66666661,Bx,Z021E0057
B73 x Z021E0060,15.66666667,Bx,Z021E0060
B73 x Z021E0061,15.33333333,Bx,Z021E0061
B73 x Z021E0066,15,Bx,Z021E0066
B73 x Z021E0082,16,Bx,Z021E0082
B73 x Z021E0088,14.66666667,Bx,Z021E0088
B73 x Z021E0090,14.66666667,Bx,Z021E0090
B73 x Z021E0096,16.66666667,Bx,Z021E0096
B73 x Z021E0121,16,Bx,Z021E0121
B73 x Z021E0130,16.66666667,Bx,Z021E0130
B73 x Z021E0146,15.33333333,Bx,Z021E0146
B73 x Z021E0147,18.66666667,Bx,Z021E0147
B73 x Z021E0148,18.33333333,Bx,Z021E0148
B73 x Z021E0152,17.33333333,Bx,Z021E0152
B73 x Z021E0156,16.66666667,Bx,Z021E0156
B73 x Z021E0161,19,Bx,Z021E0161
B73 x Z021E0169,16.33333333,Bx,Z021E0169
B73 x Z021E0175,14,Bx,Z021E0175
B73 x Z021E0178,16,Bx,Z021E0178
B73 x Z021E0181,16.33333333,Bx,Z021E0181
B73 x Z021E0182,14.33333333,Bx,Z021E0182
B73 x Z021E0192,14,Bx,Z021E0192
B73 x Z021E0195,16.33333333,Bx,Z021E0195
B73 x Z022E0003,16.49999997,Bx,Z022E0003
B73 x Z022E0006,17.33333333,Bx,Z022E0006
B73 x Z022E0115,16.66666667,Bx,Z022E0115
B73 x Z023E0017,19.33333333,Bx,Z023E0017
B73 x Z023E0044,17.33333333,Bx,Z023E0044
B73 x Z023E0056,15.49999997,Bx,Z023E0056
B73 x Z023E0075,17,Bx,Z023E0075
B73 x Z023E0085,19,Bx,Z023E0085
B73 x Z024E0009,17.49999997,Bx,Z024E0009
B73 x Z024E0017,17.33333339,Bx,Z024E0017
B73 x Z024E0033,15.19999999,Bx,Z024E0033
B73 x Z024E0044,17.33333333,Bx,Z024E0044
B73 x Z024E0058,16.66666661,Bx,Z024E0058
B73 x Z024E0083,16.66666667,Bx,Z024E0083
B73 x Z024E0118,17.33333333,Bx,Z024E0118
B73 x Z024E0120,14.49999997,Bx,Z024E0120
B73 x Z024E0152,18.33333333,Bx,Z024E0152
B73 x Z024E0158,14.79999999,Bx,Z024E0158
B73 x Z024E0195,15.49999997,Bx,Z024E0195
B73 x Z024E0203,15.99999999,Bx,Z024E0203
B73 x Z024E0212,15.60000001,Bx,Z024E0212
B73 x Z025E0055,15.66666667,Bx,Z025E0055
B73 x Z025E0088,17,Bx,Z025E0088
B73 x Z025E0106,15,Bx,Z025E0106
B73 x Z025E0113,16.49999997,Bx,Z025E0113
B73 x Z025E0123,19.99999999,Bx,Z025E0123
B73 x Z025E0124,16,Bx,Z025E0124
B73 x Z025E0140,15.99999999,Bx,Z025E0140
