Genotype,CL,CD,CW,Note,RIL
B73 x Z018E0027,167.24,26.66833333,23.59333333,Bx,Z018E0027
B73 x Z018E0030,156.8966667,26.45833333,20.81666667,Bx,Z018E0030
B73 x Z018E0032,147.1087234,25.29144318,21.40171213,Bx,Z018E0032
B73 x Z018E0039,173.8616667,26.85,25.64666667,Bx,Z018E0039
B73 x Z018E0042,195.83,26.87666667,31.28,Bx,Z018E0042
B73 x Z018E0049,187.2366667,28.68333333,31.15333333,Bx,Z018E0049
B73 x Z018E0053,203.245,27.73833333,35.725,Bx,Z018E0053
B73 x Z018E0061,174.9966667,26.00333333,26.43333333,Bx,Z018E0061
B73 x Z018E0067,185.145,30.81,35.21,Bx,Z018E0067
B73 x Z018E0077,209.6916667,27.39,30.72333333,Bx,Z018E0077
B73 x Z018E0078,198.3466667,30.34833333,39.28833333,Bx,Z018E0078
B73 x Z018E0096,185.025,28.90166667,34.57333333,Bx,Z018E0096
B73 x Z018E0114,168.415,26.58833333,26.48166667,Bx,Z018E0114
B73 x Z018E0121,168.77,26.28333333,26.65666667,Bx,Z018E0121
B73 x Z018E0122,167.9467234,25.25744318,24.37571213,Bx,Z018E0122
B73 x Z018E0130,187.9243086,26.11110794,24.60178034,Bx,Z018E0130
B73 x Z018E0138,177.04,26.825,24.60166667,Bx,Z018E0138
B73 x Z018E0139,168.985,25.33833333,23.67,Bx,Z018E0139
B73 x Z018E0141,192.2633333,28.91333333,28.61666667,Bx,Z018E0141
B73 x Z018E0148,204.835,28.34166667,39.525,Bx,Z018E0148
B73 x Z018E0150,176.035,28.04333333,29.37166667,Bx,Z018E0150
B73 x Z018E0158,173.09,26.725,25.34833333,Bx,Z018E0158
B73 x Z018E0160,156.9627234,25.30944318,21.03371213,Bx,Z018E0160
B73 x Z018E0163,188.6443086,28.27860794,32.87928034,Bx,Z018E0163
B73 x Z018E0164,172.6016667,25.46833333,22.67333333,Bx,Z018E0164
B73 x Z018E0171,204.1447234,29.26144318,30.52171213,Bx,Z018E0171
B73 x Z018E0172,175.6183333,27.59666667,30.275,Bx,Z018E0172
B73 x Z018E0173,177.4233333,28.47166667,29.37333333,Bx,Z018E0173
B73 x Z018E0177,186.8133333,29.535,32.72166667,Bx,Z018E0177
B73 x Z018E0179,177.8483333,24.86166667,28.34333333,Bx,Z018E0179
B73 x Z019E0004,158.3754609,25.98426137,25.41047978,Bx,Z019E0004
B73 x Z019E0032,190.0433333,26.38,34.37,Bx,Z019E0032
B73 x Z019E0069,173.1733333,26.35166667,26.78166667,Bx,Z019E0069
B73 x Z019E0075,178.23,24.735,28.48833333,Bx,Z019E0075
B73 x Z019E0111,190.7083333,25.41666667,30.85,Bx,Z019E0111
B73 x Z019E0119,186.8812057,27.92240529,32.56952022,Bx,Z019E0119
B73 x Z019E0124,197.7316667,26.99833333,35.12333333,Bx,Z019E0124
B73 x Z019E0125,183.1333333,28.23333333,33.13833333,Bx,Z019E0125
B73 x Z019E0138,201.045,30.74,48.865,Bx,Z019E0138
B73 x Z019E0170,163.4343086,26.64360794,27.01928034,Bx,Z019E0170
B73 x Z019E0177,183.5027234,27.15344318,32.32971213,Bx,Z019E0177
B73 x Z019E0178,183.535,25.54666667,28.4,Bx,Z019E0178
B73 x Z019E0194,184.3047234,26.78944318,34.02771213,Bx,Z019E0194
B73 x Z019E0226,158.83,26.00333333,25.03666667,Bx,Z019E0226
B73 x Z020E0009,148.9031914,20.79639206,19.41821966,Bx,Z020E0009
B73 x Z020E0012,168.1933333,25.92,27.015,Bx,Z020E0012
B73 x Z020E0015,178.3466667,26.78,25.575,Bx,Z020E0015
B73 x Z020E0019,157.79,25.57,25.65166667,Bx,Z020E0019
B73 x Z020E0025,175.1666667,23.21333333,20.65833333,Bx,Z020E0025
B73 x Z020E0027,158.7133333,25.77,26.78666667,Bx,Z020E0027
B73 x Z020E0029,159.6366667,23.46833333,16.40666667,Bx,Z020E0029
B73 x Z020E0032,153.2616667,25.76833333,20.34833333,Bx,Z020E0032
B73 x Z020E0034,168.6033333,27.46833333,29.36333333,Bx,Z020E0034
B73 x Z020E0038,161.3766667,25.61666667,23.27166667,Bx,Z020E0038
B73 x Z020E0039,180.1883333,24.51666667,24.45666667,Bx,Z020E0039
B73 x Z020E0041,191.905,26.76833333,34.64,Bx,Z020E0041
B73 x Z020E0043,176.99,25.505,23.63,Bx,Z020E0043
B73 x Z020E0047,195.8166667,25.20166667,25.61333333,Bx,Z020E0047
B73 x Z020E0049,181.1033333,24.66833333,24.95166667,Bx,Z020E0049
B73 x Z020E0050,207.6166667,27.055,31.12333333,Bx,Z020E0050
B73 x Z020E0056,175.6687234,24.96544318,20.26171213,Bx,Z020E0056
B73 x Z020E0057,164.79,26.72666667,24.66166667,Bx,Z020E0057
B73 x Z020E0059,170.0683333,26.98333333,27.10166667,Bx,Z020E0059
B73 x Z020E0062,183.19,24.77666667,23.605,Bx,Z020E0062
B73 x Z020E0069,194.7183333,25.64666667,29.595,Bx,Z020E0069
B73 x Z020E0075,177.6983333,27.405,32.175,Bx,Z020E0075
B73 x Z020E0077,147.4607234,23.67144318,17.05371213,Bx,Z020E0077
B73 x Z020E0090,173.3383333,27.835,30.18833333,Bx,Z020E0090
B73 x Z020E0099,177.8016667,24.94833333,25.93,Bx,Z020E0099
B73 x Z020E0103,167.665,24.80666667,25.38166667,Bx,Z020E0103
B73 x Z020E0106,198.7732766,26.24855682,33.55628787,Bx,Z020E0106
B73 x Z020E0117,159.315,26.865,24.62333333,Bx,Z020E0117
B73 x Z020E0120,161.0233333,29.68666667,34.11,Bx,Z020E0120
B73 x Z020E0122,174.7133333,25.915,25.69833333,Bx,Z020E0122
B73 x Z020E0152,181.5,24.80833333,27.255,Bx,Z020E0152
B73 x Z020E0155,186.4816667,26.545,27.21166667,Bx,Z020E0155
B73 x Z020E0159,177.9983333,27.815,30.605,Bx,Z020E0159
B73 x Z021E0014,184.5283333,26.685,32.40833333,Bx,Z021E0014
B73 x Z021E0022,168.1733333,23.79,28.02833333,Bx,Z021E0022
B73 x Z021E0025,197.1983333,26.59333333,33.90666667,Bx,Z021E0025
B73 x Z021E0028,172.8268086,28.69610794,32.02428034,Bx,Z021E0028
B73 x Z021E0034,180.52,25.44166667,33.245,Bx,Z021E0034
B73 x Z021E0040,176.995,24.73,25.58166667,Bx,Z021E0040
B73 x Z021E0042,188.1933333,25.61,29.70166667,Bx,Z021E0042
B73 x Z021E0050,210.41,28.23,36.02166667,Bx,Z021E0050
B73 x Z021E0051,196.88,25.89833333,32.16666667,Bx,Z021E0051
B73 x Z021E0052,185.635,25.55166667,28.065,Bx,Z021E0052
B73 x Z021E0053,177.3983333,25.78166667,23.775,Bx,Z021E0053
B73 x Z021E0054,150.3016667,26.95333333,22.89333333,Bx,Z021E0054
B73 x Z021E0057,169.8669505,27.82721588,30.38856067,Bx,Z021E0057
B73 x Z021E0060,181.72,27.73666667,31.49,Bx,Z021E0060
B73 x Z021E0061,177.0766667,25.34,29.58666667,Bx,Z021E0061
B73 x Z021E0066,172.3716667,22.28166667,20.78333333,Bx,Z021E0066
B73 x Z021E0082,181.3183333,25.02666667,27.77666667,Bx,Z021E0082
B73 x Z021E0088,188.9033333,25.44666667,29.55166667,Bx,Z021E0088
B73 x Z021E0090,172.795,25.97166667,28.21666667,Bx,Z021E0090
B73 x Z021E0096,161.5216667,26.025,24.69,Bx,Z021E0096
B73 x Z021E0121,176.085,24.28166667,23.62,Bx,Z021E0121
B73 x Z021E0130,179.7483333,28.34,37.03333333,Bx,Z021E0130
B73 x Z021E0146,177.8966667,28.64666667,35.435,Bx,Z021E0146
B73 x Z021E0147,185.265,29.68666667,40.68833333,Bx,Z021E0147
B73 x Z021E0148,185.5783333,28.085,32.86666667,Bx,Z021E0148
B73 x Z021E0152,189.1183333,27.46,34.02666667,Bx,Z021E0152
B73 x Z021E0156,157.4966667,27.22833333,30.05,Bx,Z021E0156
B73 x Z021E0161,197.1866667,27.66666667,40.52833333,Bx,Z021E0161
B73 x Z021E0169,177.74,28.64333333,37.89666667,Bx,Z021E0169
B73 x Z021E0175,181.5616667,24.47666667,24.65,Bx,Z021E0175
B73 x Z021E0178,177.9183333,25.87166667,29.465,Bx,Z021E0178
B73 x Z021E0181,191.025,25.68666667,28.7,Bx,Z021E0181
B73 x Z021E0182,172.1533333,23.59666667,22.34166667,Bx,Z021E0182
B73 x Z021E0192,135.6933333,19.84666667,13.55833333,Bx,Z021E0192
B73 x Z021E0195,188.48,30.23833333,38.345,Bx,Z021E0195
B73 x Z022E0003,184.3418086,25.34360794,30.94678034,Bx,Z022E0003
B73 x Z022E0006,191.26,25.07333333,25.21333333,Bx,Z022E0006
B73 x Z022E0115,178.0266667,26.445,30.83,Bx,Z022E0115
B73 x Z023E0017,177.36,28.865,37.86,Bx,Z023E0017
B73 x Z023E0044,185.8783333,27.34166667,28.63666667,Bx,Z023E0044
B73 x Z023E0056,195.1018086,23.97360794,26.08428034,Bx,Z023E0056
B73 x Z023E0075,179.0033333,24.92833333,29.49166667,Bx,Z023E0075
B73 x Z023E0085,182.4383333,26.72166667,31.32,Bx,Z023E0085
B73 x Z024E0009,202.2743086,26.63860794,31.89678034,Bx,Z024E0009
B73 x Z024E0017,133.9463828,26.14945078,18.40143933,Bx,Z024E0017
B73 x Z024E0033,195.9547234,25.46144318,33.12771213,Bx,Z024E0033
B73 x Z024E0044,173.1366667,26.255,25.18333333,Bx,Z024E0044
B73 x Z024E0058,186.8569505,25.38054922,28.18189401,Bx,Z024E0058
B73 x Z024E0083,185.3916667,27.63333333,30.41666667,Bx,Z024E0083
B73 x Z024E0118,167.48,25.09333333,24.16833333,Bx,Z024E0118
B73 x Z024E0120,198.1643086,24.56610794,26.84178034,Bx,Z024E0120
B73 x Z024E0152,164.145,27.08666667,23.455,Bx,Z024E0152
B73 x Z024E0158,183.8127234,24.48944318,24.86971213,Bx,Z024E0158
B73 x Z024E0195,193.5043086,25.82860794,26.94178034,Bx,Z024E0195
B73 x Z024E0203,154.8727234,24.85144318,20.49571213,Bx,Z024E0203
B73 x Z024E0212,153.9912766,25.32255682,20.98228787,Bx,Z024E0212
B73 x Z025E0055,180.3966667,25.915,27.91333333,Bx,Z025E0055
B73 x Z025E0088,167.2066667,27.42,28.585,Bx,Z025E0088
B73 x Z025E0106,176.0316667,27.76333333,30.51666667,Bx,Z025E0106
B73 x Z025E0113,146.9927234,24.16344318,25.14171213,Bx,Z025E0113
B73 x Z025E0123,163.2527234,29.05944318,28.81371213,Bx,Z025E0123
B73 x Z025E0124,163.9716667,29.22333333,28.50166667,Bx,Z025E0124
B73 x Z025E0140,139.5367234,24.99144318,21.74171213,Bx,Z025E0140
B73 x Z025E0195,163.5566667,26.23833333,21.91666667,Bx,Z025E0195
B73 x Z025E0197,178.6375,30.79,39.39,Bx,Z025E0197
B73 x Z025E0218,172.3316667,28.445,34.45,Bx,Z025E0218
B73 x Z025E0238,172.2833333,29.01166667,32.325,Bx,Z025E0238
B73 x Z026E0001,166.9483333,26.99166667,23.71833333,Bx,Z026E0001
B73 x Z026E0006,151.9893086,25.49860794,23.41178034,Bx,Z026E0006
B73 x Z026E0010,147.6232766,28.77055682,25.41828787,Bx,Z026E0010
B73 x Z026E0013,176.8807234,27.98944318,29.37371213,Bx,Z026E0013
B73 x Z026E0020,172.275,26.975,30.995,Bx,Z026E0020
B73 x Z026E0022,188.0136172,27.85388255,28.72189401,Bx,Z026E0022
B73 x Z026E0034,170.9043086,25.17860794,24.52928034,Bx,Z026E0034
B73 x Z026E0035,185.3267234,24.92144318,28.98571213,Bx,Z026E0035
B73 x Z026E0041,149.1333333,25.79333333,22.07,Bx,Z026E0041
B73 x Z026E0053,164.77,26.69333333,25.62166667,Bx,Z026E0053
B73 x Z026E0054,159.47,25.80666667,22.01333333,Bx,Z026E0054
B73 x Z026E0061,151.4116667,29.455,25.26,Bx,Z026E0061
B73 x Z026E0068,176.8266667,25.955,25.75666667,Bx,Z026E0068
B73 x Z026E0072,161.17,27.93,28.835,Bx,Z026E0072
B73 x Z026E0077,161.5533333,27.6,32.24666667,Bx,Z026E0077
B73 x Z026E0080,160.7233333,27.29166667,25.25166667,Bx,Z026E0080
B73 x Z026E0085,168.5116667,25.615,25.24666667,Bx,Z026E0085
B73 x Z026E0088,181.54,27.89166667,27.16166667,Bx,Z026E0088
B73 x Z026E0100,159.0766667,25.84333333,21.76,Bx,Z026E0100
B73 x Z026E0116,175.025,25.07333333,26.755,Bx,Z026E0116
B73 x Z026E0123,167.7533333,24.385,22.785,Bx,Z026E0123
B73 x Z026E0124,176.935,26.35,28.415,Bx,Z026E0124
B73 x Z026E0125,168.7583333,26.615,26.94666667,Bx,Z026E0125
B73 x Z026E0126,169.1707234,26.35544318,28.20571213,Bx,Z026E0126
B73 x Z026E0141,166.19,24.34166667,22.16833333,Bx,Z026E0141
B73 x Z026E0149,166.4916667,27.71,28.69166667,Bx,Z026E0149
B73 x Z026E0152,152.4816667,27.96666667,23.52,Bx,Z026E0152
B73 x Z026E0153,140.5066667,24.46833333,17.98,Bx,Z026E0153
B73 x Z026E0156,160.8943086,26.11610794,28.08428034,Bx,Z026E0156
B73 x Z026E0162,151.3647234,24.92944318,20.87971213,Bx,Z026E0162
B73 x Z026E0165,174.0247234,24.95544318,24.91971213,Bx,Z026E0165
B73 x Z026E0197,167.5747234,27.27344318,27.30171213,Bx,Z026E0197
B73 x Z026E0198,143.2947234,25.66944318,21.28771213,Bx,Z026E0198
B73 x Z026E0199,141.1152766,26.89855682,25.65228787,Bx,Z026E0199
B73@,140.6866891,26.14904166,20.34841796,B73,B73
Z001E0002@,98.41638281,20.45778412,7.851439328,RILs,Z001E0002
Z001E0003@,114.575,25.425,10.395,RILs,Z001E0003
Z001E0004@,123.9947234,24.40144318,13.29971213,RILs,Z001E0004
Z001E0006@,138.83,24.74333333,16.82333333,RILs,Z001E0006
Z001E0030@,127.065,22.99833333,14.30833333,RILs,Z001E0030
Z001E0038@,149.7083333,23.66833333,15.60166667,RILs,Z001E0038
Z001E0078@,168.3766667,25.225,17.24166667,RILs,Z001E0078
Z001E0101@,132.6016667,25.71666667,17.15,RILs,Z001E0101
Z001E0112@,150.4645391,22.91907196,14.70285356,RILs,Z001E0112
Z001E0128@,153.3730495,24.70945078,13.64143933,RILs,Z001E0128
Z001E0128@,158.6602839,22.71388255,14.64856067,RILs,Z001E0128
Z001E0170@,132.21,26.43333333,21.49666667,RILs,Z001E0170
Z002E0001@,121.4112057,23.63907196,11.15285356,RILs,Z002E0001
Z002E0023@,137.1616667,26.01166667,18.6,RILs,Z002E0023
Z002E0116@,115.99,24.44666667,10.065,RILs,Z002E0116
Z002E0126@,132.9097161,25.35611745,13.64477266,RILs,Z002E0126
Z002E0136@,117.2816667,25.73333333,12.39166667,RILs,Z002E0136
Z002E0152@,121.2633333,24.11833333,11.745,RILs,Z002E0152
Z002E0156@,144.3056914,26.53389206,18.70571966,RILs,Z002E0156
Z002E0159@,166.3683333,23.28666667,15.98833333,RILs,Z002E0159
Z002E0163@,125.8993086,25.43360794,16.73928034,RILs,Z002E0163
Z002E0175@,144.7945391,26.36573863,14.72618689,RILs,Z002E0175
Z002E0187@,146.5997161,23.46278412,14.75810599,RILs,Z002E0187
Z002E0193@,110.3036172,26.55721588,10.66356067,RILs,Z002E0193
Z002E0197@,120.5233333,23.54166667,14.24,RILs,Z002E0197
Z003E0008@,196.2597161,28.32278412,35.80477266,RILs,Z003E0008
Z003E0008@,180.6436172,23.02388255,23.63522734,RILs,Z003E0008
Z003E0022@,140.4366667,28.25666667,20.80166667,RILs,Z003E0022
Z003E0071@,143.0568086,25.81610794,17.63178034,RILs,Z003E0071
Z003E0077,120.4197161,20.83945078,10.42143933,RILs,Z003E0077
Z003E0088@,114.6597161,19.05611745,10.95810599,RILs,Z003E0088
Z003E0195@,114.0563828,22.10278412,8.581439328,RILs,Z003E0195
Z003E0212@,114.2130495,24.53945078,13.91143933,RILs,Z003E0212
Z004E0001@,149.0347234,23.16944318,15.66971213,RILs,Z004E0001
Z004E0005@,148.2247234,21.60944318,12.56171213,RILs,Z004E0005
Z004E0021@,142.9367234,25.05744318,17.29971213,RILs,Z004E0021
Z004E0027@,116.3483333,26.32333333,16.81666667,RILs,Z004E0027
Z004E0043@,166.22,28.45666667,24.14,RILs,Z004E0043
Z004E0046@,122.9316667,25.66333333,18.28833333,RILs,Z004E0046
Z004E0049@,137.7956914,26.28139206,22.28321966,RILs,Z004E0049
Z004E0054@,149.5133333,29.515,28.96833333,RILs,Z004E0054
Z004E0058@,131.87,21.485,11.785,RILs,Z004E0058
Z004E0061@,136.2,29.61833333,23.14833333,RILs,Z004E0061
Z004E0069@,141.1766667,28.84833333,21.53166667,RILs,Z004E0069
Z004E0071@,104.2612766,24.09655682,11.29428787,RILs,Z004E0071
Z004E0081@,91.60927656,20.85455682,10.35428787,RILs,Z004E0081
Z004E0083@,169.0466667,24.125,21.37666667,RILs,Z004E0083
Z004E0096@,114.6112766,24.28855682,14.36628787,RILs,Z004E0096
Z004E0098@,161.3133333,26.83333333,23.815,RILs,Z004E0098
Z004E0102@,113.4233333,23.04666667,12.90166667,RILs,Z004E0102
Z004E0111@,114.3556914,24.00389206,12.31571966,RILs,Z004E0111
Z004E0115@,145.6193086,27.88860794,19.11678034,RILs,Z004E0115
Z004E0126@,136.0216667,25.19833333,18.985,RILs,Z004E0126
Z004E0136@,142.48,24.175,20.83833333,RILs,Z004E0136
Z004E0141@,161.7130495,26.07945078,23.90143933,RILs,Z004E0141
Z004E0161@,113.8383333,20.36333333,11.175,RILs,Z004E0161
Z004E0162@,107.2767234,19.75144318,9.821712134,RILs,Z004E0162
Z004E0175@,119.3716667,23.86333333,15.65666667,RILs,Z004E0175
Z004E0190@,135.14,28.07833333,22.72833333,RILs,Z004E0190
Z004E0191@,115.0216667,26.21666667,14.755,RILs,Z004E0191
Z004E0199@,109.38,26.935,10.70833333,RILs,Z004E0199
Z004E0208@,121.0583333,24.445,16.63166667,RILs,Z004E0208
Z004E0232@,135.0431914,27.72139206,22.61321966,RILs,Z004E0232
Z005E0012@,133.9366667,22.63666667,10.05,RILs,Z005E0012
Z005E0013@,133,25.895,18.94166667,RILs,Z005E0013
Z005E0014@,148.3983333,23.04333333,15.48666667,RILs,Z005E0014
Z005E0027@,100.6581914,24.48139206,13.95571966,RILs,Z005E0027
Z005E0042@,141.8983333,24.60666667,23.455,RILs,Z005E0042
Z005E0043@,113.4266667,24.68333333,17.88166667,RILs,Z005E0043
Z005E0048@,101.0716667,20.775,9.703333333,RILs,Z005E0048
Z005E0055@,107.9327234,22.66544318,13.71571213,RILs,Z005E0055
Z005E0061@,83.78,19.32,7.795,RILs,Z005E0061
Z005E0063@,121.07,22.165,12.20333333,RILs,Z005E0063
Z005E0066@,104.585,27.885,21.805,RILs,Z005E0066
Z005E0075@,124.2475,22.79,11.8375,RILs,Z005E0075
Z005E0079@,147.21,25.29833333,22.36,RILs,Z005E0079
Z005E0083@,112.4168086,22.82610794,12.92428034,RILs,Z005E0083
Z005E0093@,133.6663828,27.13611745,23.69477266,RILs,Z005E0093
Z005E0096@,114.4566667,23.18,13.66166667,RILs,Z005E0096
Z005E0097@,143.5845391,25.64240529,20.83618689,RILs,Z005E0097
Z005E0099@,106.2969505,21.53054922,10.49189401,RILs,Z005E0099
Z005E0100@,90.66333333,22.625,8.555,RILs,Z005E0100
Z005E0111@,94.6925,20.11,8.05,RILs,Z005E0111
Z005E0112@,112.105,26.09166667,12.82166667,RILs,Z005E0112
Z005E0113@,120.8633333,25.985,16.63333333,RILs,Z005E0113
Z005E0117@,136.0863828,24.54278412,17.04477266,RILs,Z005E0117
Z005E0139@,132.33,26.44333333,24.325,RILs,Z005E0139
Z005E0149@,133.215,29.20333333,23.36,RILs,Z005E0149
Z005E0155@,114.9333333,30.12,18.96666667,RILs,Z005E0155
Z005E0173@,167.3,27.57833333,25.52333333,RILs,Z005E0173
Z006E0012@,117.1012766,21.19855682,12.80028787,RILs,Z006E0012
Z006E0016@,151.4566667,25.51166667,22.12666667,RILs,Z006E0016
Z006E0027@,134.1702839,24.72054922,17.94522734,RILs,Z006E0027
Z006E0028@,168.1,25.51,20.625,RILs,Z006E0028
Z006E0041@,110.4933333,29.25166667,16.34333333,RILs,Z006E0041
Z006E0088@,154.8266667,26.61166667,24.54666667,RILs,Z006E0088
Z006E0124@,144.7833333,25.79833333,22.62666667,RILs,Z006E0124
Z006E0125@,106.6267234,20.32744318,9.687712134,RILs,Z006E0125
Z006E0147@,79.28361719,18.23054922,4.388560672,RILs,Z006E0147
Z006E0154@,114.865,22.58,11.12333333,RILs,Z006E0154
Z006E0160@,94.78638281,23.21278412,5.441439328,RILs,Z006E0160
Z006E0171@,141.3416667,24.98,21.56,RILs,Z006E0171
Z006E0189@,132.9016667,25.32333333,15.71333333,RILs,Z006E0189
Z006E0193@,145.9466667,23.95666667,18.16666667,RILs,Z006E0193
Z006E0196@,130.8116667,24.68166667,13.735,RILs,Z006E0196
Z007E0015@,101.94,22.45166667,8.976666667,RILs,Z007E0015
Z007E0117@,115.105,23.8925,11.4,RILs,Z007E0117
Z007E0123@,135.2736172,26.92054922,20.66189401,RILs,Z007E0123
Z008E0006@,141.0533333,25.22833333,12.83,RILs,Z008E0006
Z008E0009@,144.0983333,28.005,24.42166667,RILs,Z008E0009
Z008E0013@,138.9052766,24.31855682,12.91428787,RILs,Z008E0013
Z008E0017@,137.6566667,23.6,17.90333333,RILs,Z008E0017
Z008E0040@,125.605,21.705,13.22666667,RILs,Z008E0040
Z008E0041@,132,23.85666667,13.195,RILs,Z008E0041
Z008E0047@,123.72,20.96166667,8.203333333,RILs,Z008E0047
Z008E0054@,107.66,19.71166667,7.226666667,RILs,Z008E0054
Z008E0056@,124.1483333,25.00833333,15.68666667,RILs,Z008E0056
Z008E0062@,158.2533333,19.77,11.765,RILs,Z008E0062
Z008E0064@,129.895,26.33166667,14.84833333,RILs,Z008E0064
Z008E0075@,135.105,24.88,16.41333333,RILs,Z008E0075
Z008E0093@,137.7783333,25.61166667,16.485,RILs,Z008E0093
Z008E0094@,106.91,23.575,11.84333333,RILs,Z008E0094
Z008E0099@,102.3527234,23.23344318,9.357712134,RILs,Z008E0099
Z008E0123@,118.04,24.90666667,13.065,RILs,Z008E0123
Z008E0127@,140.4407234,18.76544318,9.683712134,RILs,Z008E0127
Z008E0134@,136.1783333,24.44666667,18.14166667,RILs,Z008E0134
Z008E0139@,143.3943086,25.68610794,18.94928034,RILs,Z008E0139
Z008E0141@,133.6016667,22.34,11.90833333,RILs,Z008E0141
Z008E0143@,137.2463828,25.02278412,13.34143933,RILs,Z008E0143
Z008E0177@,132.455,25.57166667,15.95333333,RILs,Z008E0177
Z008E0178@,106.0666667,18.73833333,5.173333333,RILs,Z008E0178
Z008E0183@,145.5516667,23.04833333,17.11,RILs,Z008E0183
Z008E0193@,143.0956914,26.32889206,19.12071966,RILs,Z008E0193
Z009E0015@,128.6647234,23.16944318,15.67571213,RILs,Z009E0015
Z009E0025@,153.7532766,27.74455682,20.70828787,RILs,Z009E0025
Z009E0031@,144.3192766,26.21255682,19.18028787,RILs,Z009E0031
Z009E0051@,147.7016667,29.16,23.93166667,RILs,Z009E0051
Z009E0055@,126.9225,24.075,12.155,RILs,Z009E0055
Z009E0062@,113.1081914,27.53889206,13.56321966,RILs,Z009E0062
Z009E0063@,108.9233333,24.52333333,10.52166667,RILs,Z009E0063
Z009E0082@,118.9463828,28.37945078,15.33477266,RILs,Z009E0082
Z009E0095@,127.39,23.21333333,13.62333333,RILs,Z009E0095
Z009E0114@,131.255,22.73833333,12.77,RILs,Z009E0114
Z009E0125@,116.0667234,18.58144318,10.09971213,RILs,Z009E0125
Z009E0133@,144.9267234,24.56544318,18.27771213,RILs,Z009E0133
Z009E0136@,126.66,26.13666667,17.55333333,RILs,Z009E0136
Z009E0137@,101.7387234,26.34744318,12.13771213,RILs,Z009E0137
Z009E0143@,118.4033333,25.49666667,16.375,RILs,Z009E0143
Z009E0145@,88.66333333,21.20666667,7.596666667,RILs,Z009E0145
Z009E0149@,161.7166667,25.62833333,24.76166667,RILs,Z009E0149
Z009E0150@,130.2766667,25.38166667,14.74833333,RILs,Z009E0150
Z009E0153@,106.1532766,23.58455682,11.14228787,RILs,Z009E0153
Z009E0155@,155.8392766,25.48255682,18.29828787,RILs,Z009E0155
Z009E0167@,147.9866667,26.25,19.695,RILs,Z009E0167
Z009E0169@,140.7533333,24.655,18.01333333,RILs,Z009E0169
Z009E0173@,114.4816667,25.845,12.69833333,RILs,Z009E0173
Z009E0176@,141.5083333,26.98666667,15.94166667,RILs,Z009E0176
Z009E0177@,97.94666667,24.26166667,10.52833333,RILs,Z009E0177
Z009E0178@,160.3716667,27.62666667,25.39166667,RILs,Z009E0178
Z009E0179@,126.365,27.53,17.1625,RILs,Z009E0179
Z009E0193@,123.4636172,27.81721588,20.17856067,RILs,Z009E0193
Z009E0219@,121.075,24.08166667,14.66166667,RILs,Z009E0219
Z010E0001@,121.5836172,26.87721588,9.868560672,RILs,Z010E0001
Z010E0002@,128.6331914,20.83889206,9.678219664,RILs,Z010E0002
Z010E0009@,101.905,21.91833333,8.338333333,RILs,Z010E0009
Z010E0055@,142.0172766,23.02255682,9.232287866,RILs,Z010E0055
Z010E0062@,105.6,19.33166667,6.481666667,RILs,Z010E0062
Z010E0141@,107.2747234,22.92744318,7.219712134,RILs,Z010E0141
Z010E0146@,140.5425,23.1225,13.8525,RILs,Z010E0146
Z010E0148@,101.2163828,16.92945078,2.798105994,RILs,Z010E0148
Z010E0149@,129.0207234,20.40544318,9.973712134,RILs,Z010E0149
Z010E0175@,130.8566667,21.00333333,8.76,RILs,Z010E0175
Z010E0182@,94.80166667,17.27333333,3.875,RILs,Z010E0182
Z011E0008@,137.0163828,28.66278412,22.30143933,RILs,Z011E0008
Z011E0009@,122.1916667,19.81,9.5,RILs,Z011E0009
Z011E0012@,108.0687943,24.97426137,13.20381311,RILs,Z011E0012
Z011E0062@,134.0525,26.855,12.975,RILs,Z011E0062
Z011E0079@,139.0063828,28.09945078,16.26477266,RILs,Z011E0079
Z011E0144@,90.93927656,25.06855682,8.268287866,RILs,Z011E0144
Z011E0146@,170.3852766,30.03255682,28.10228787,RILs,Z011E0146
Z011E0160@,130.705,26.82666667,15.085,RILs,Z011E0160
Z011E0162@,109.6563828,29.02778412,14.93143933,RILs,Z011E0162
Z011E0169@,106.0713828,24.29778412,5.476439328,RILs,Z011E0169
Z011E0182@,136.405,26.02666667,17.16166667,RILs,Z011E0182
Z012E0008@,140.1633333,26.30166667,20.93,RILs,Z012E0008
Z012E0012@,142.3763828,26.97278412,22.29643933,RILs,Z012E0012
Z012E0012@,218.7136172,30.33721588,46.52856067,RILs,Z012E0012
Z012E0014@,134.3336172,23.50721588,16.71856067,RILs,Z012E0014
Z012E0026@,149.7497161,29.66278412,34.97143933,RILs,Z012E0026
Z012E0026@,129.2402839,27.64721588,26.36522734,RILs,Z012E0026
Z012E0042@,191.1263828,32.90611745,41.15810599,RILs,Z012E0042
Z012E0042@,134.7269505,26.92721588,21.00522734,RILs,Z012E0042
Z012E0055@,135.135,28.26333333,18.585,RILs,Z012E0055
Z012E0058@,144.47,25.18333333,14.76666667,RILs,Z012E0058
Z012E0098@,171.2066667,28.10666667,23.52666667,RILs,Z012E0098
Z012E0102@,161.755,27.44,24.71166667,RILs,Z012E0102
Z012E0117@,139.0433333,28.93,19.55666667,RILs,Z012E0117
Z012E0159@,122.5616667,28.17,18.89833333,RILs,Z012E0159
Z013E0060@,126.635,25.32333333,15.77333333,RILs,Z013E0060
