ped,KRN
CML52|CML69,11.555555555555
CML52|Ki11,11.5555555555549
CML52|Ki3,12.0051997346752
CML52|Ky21,12.8888888888884
CML52|M37W,11.9960602460218
CML52|Mo17,11.7777777777771
CML52|Mo18W,14.2222222222216
CML52|NC350,13.3333333333328
CML52|Oh7B,15.5555555555550
CML52|Tx303,13.3333333333328
CML52|Tzi8,13.9999999999991
CML69|Ki11,12.6666666666661
CML69|Ky21,13.6509076507559
CML69|M162W,13.4960602460219
CML69|M37W,12.6666666666661
CML69|Mo17,12.6666666666660
CML69|NC350,14.2222222222216
CML69|P39,11.7777777777772
CML69|Tx303,14.6666666666660
CML69|Tzi8,14.4960602460219
Hp301|M37W,14.4444444444439
Hp301|Mo17,13.9999999999994
Hp301|NC350,15.7777777777772
Hp301|NC358,14.4444444444438
Hp301|Oh43,15.1111111111105
Hp301|P39,14.0029712769569
Hp301|Tx303,15.5555555555550
IL14H|Ki11,14.8888888888883
IL14H|Mo17,13.5555555555550
IL14H|Ms71,15.555555555555
IL14H|NC350,15.2460602460218
IL14H|NC358,15.6666666666660
IL14H|Oh43,16.8268824638749
Ki11|Ki3,12.2202523452328
Ki11|M162W,14.4792074136855
Ki11|Mo17,13.3333333333327
Ki11|Mo18W,14.2222222222216
Ki11|NC358,13.7460602460218
Ki11|Oh43,15.4960602460218
Ki11|Tx303,15.3333333333327
Ki11|Tzi8,14.6666666666661
Ki3|M162W,14.7202523452328
Ki3|M37W,14.8481377051936
Ki3|Mo18W,15.1338519909078
Ki3|NC358,14.6666666666660
Ki3|Oh7B,15.7460602460218
Ki3|P39,14.4444444444439
Ki3|Tx303,15.6666666666661
Ki3|Tzi8,16.6666666666652
Ky21|M37W,13.7725780431013
Ky21|Mo17,12.7460602460219
Ky21|Ms71,14.2222222222216
Ky21|NC350,14.1587871587110
Ky21|NC358,13.8869190118995
Ky21|Oh43,17.1111111111105
Ky21|Oh7B,14.6666666666660
Ky21|P39,13.9999999999994
Ky21|Tx303,14.3591412341217
Ky21|Tzi8,16.3263470831375
M162W|Mo18W,17.3333333333327
M162W|NC350,14.4444444444439
M162W|NC358,14.2222222222216
M162W|Oh7B,16.4444444444438
M162W|Tx303,15.9999999999994
M162W|Tzi8,15.3473058337232
M37W|Mo17,13.9999999999994
M37W|Mo18W,16.6666666666661
M37W|Ms71,16.8888888888883
M37W|NC350,15.1111111111105
M37W|NC358,14.1387891389208
M37W|Oh43,15.4195662766222
M37W|Oh7B,16.5555555555549
M37W|P39,12.8888888888882
M37W|Tx303,15.3333333333327
M37W|Tzi8,15.4444444444438
Mo17|NC350,15.1398402053609
Mo17|NC358,13.5555555555549
Mo17|Oh43,14.1111111111105
Mo17|Oh7B,16.4444444444438
Mo17|P39,12.9999999999994
Mo17|Tx303,14.8888888888883
Mo18W|NC350,16.2222222222216
Mo18W|Tzi8,18.0175455314291
Ms71|NC358,16.2222222222216
Ms71|Oh43,16.6666666666661
Ms71|P39,14.6666666666661
NC350|NC358,14.6111111111105
NC350|Oh43,15.8350719052874
NC350|Oh7B,15.9999999999994
NC350|P39,13.5555555555548
NC350|Tx303,16.1059113764349
NC350|Tzi8,16.8888888888883
NC358|Oh43,15.3062055223894
NC358|P39,14.586583167505
NC358|Tx303,14.4444444444438
Oh43|Oh7B,16.8888888888883
Oh43|P39,13.5051997346750
Oh7B|Tx303,17.3333333333327
Oh7B|Tzi8,17.4444444444438
P39|Tx303,14.8888888888883
P39|Tzi8,15.5555555555549
Tx303|Tzi8,15.5555555555549
