Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-1627-22 OP,189.49,25.41,28.77,1,TS,,,
11-1627-23 OP,165.24,26.65,25.7,1,TS,,,
11-1628-21 OP,119.11,20.13,7.54,1,TS,,,
11-1629-21 OP,141.3,22.02,10.32,1,TS,,,
11-1629-22 OP,153.91,23.79,12.62,1,TS,,,
11-1629-23 OP,150.98,23.16,10.21,1,TS,,,
11-1630-21 OP,162.82,24.85,24.66,1,TS,,,
11-1630-22 OP,122.17,24.26,12.03,1,TS,,,
11-1630-23 OP,140.5,27.87,25.12,1,TS,,,
11-1631-21 OP,139.09,24.56,14.24,1,TS,,,
11-1631-22 OP,124.44,24.13,9.36,1,TS,,,
11-1631-23 OP,127.88,25.92,12.47,1,TS,,,
11-1632-21 OP,155.31,20.74,13.37,1,TS,,,
11-1632-22 OP,115,21.28,12.82,1,TS,,,
11-1632-23 OP,149.59,20.26,14.99,1,TS,,,
11-1633-21 OP,146.98,26.03,13.64,1,TS,,,
11-1633-22 OP,122.6,29.01,20.63,1,TS,,,
11-1633-23 OP,170.11,27.98,21.07,1,TS,,,
11-1634-21 OP,70.86,23.76,6.43,1,TS,,,
11-1634-22 OP,102.78,22.61,5.2,1,TS,,,
11-1634-23 OP,110.6,26.38,10.98,1,TS,,,
11-1635-21 OP,135.51,26.6,17.37,1,TS,,,
11-1635-22 OP,152.7,29.46,22.49,1,TS,,,
11-1635-23 OP,150.98,27.5,20.71,1,TS,,,
11-1636-21 OP,122.81,24.74,12.68,1,TS,,,
11-1636-22 OP,169.11,24.34,19.27,1,TS,,,
11-1636-23 OP,126.87,25.25,11.45,1,TS,,,
11-1637-21 OP,140367,25.74,22.8,1,TS,,,
11-1637-22 OP,163.9,28.23,29.54,1,TS,,,
11-1637-23 OP,1100.6,26.45,14.77,1,TS,,,
11-1638-21 OP,168.66,27.83,15.37,1,TS,,,
11-1638-22 OP,162.41,32.95,18.23,1,TS,,,
11-1638-23 OP,144.21,31.48,15.76,1,TS,,,
11-1639-21 OP,168.85,34.16,20.91,1,TS,,,
11-1639-22 OP,135.49,27.41,16.78,1,TS,,,
11-1639-23 OP,120.21,29.54,17.42,1,TS,,,
11-1640-21 OP,160.13,27.23,20.24,1,TS,,,
11-1640-22 OP,146.66,25.84,13.43,1,TS,,,
11-1640-23 OP,152.29,22.37,13.17,1,TS,,,
11-1641-21 OP,171.92,30.24,16.23,1,TS,,,
11-1641-22 OP,193.74,30.95,18.72,1,TS,,,
11-1641-23 OP,185.52,33.85,21.49,1,TS,,,
11-1642-21 OP,142.72,19.93,7.77,1,TS,,,
11-1642-22 OP,174.08,23.78,20.58,1,TS,,,
11-1642-23 OP,152.93,22.23,13.13,1,TS,,,
11-1643-21 OP,149.15,24.85,10.29,1,TS,,,
11-1643-22 OP,139.3,25.59,12.18,1,TS,,,
11-1643-23 OP,157.36,24.39,12.03,1,TS,,,
11-1645-21 OP,109.45,24.37,6.86,1,TS,,,
11-1645-22 OP,79.79,23.22,4.36,1,TS,,,
11-1645-23 OP,132.07,25.35,8.89,1,TS,,,
11-1646-21 OP,128.63,23.11,10.19,1,TS,,,
11-1646-22 OP,137.23,22.1,7.43,1,TS,,,
11-1646-23 OP,87.25,20.58,3.68,1,TS,,,
11-1647-21 OP,75.37,14.81,1.64,1,TS,,,
11-1647-22 OP,153.67,27.23,15.14,1,TS,,,
11-1648-21 OP,150.78,19.85,9.05,1,TS,,,
11-1648-22 OP,73.62,21.86,5.36,1,TS,,,
11-1648-23 OP,141.66,21.62,11.07,1,TS,,,
11-1649-21 OP,162.67,26.15,8.62,1,TS,,,
11-1649-22 OP,80.54,20.37,2.6,1,TS,,,
11-1650-21 OP,140.31,24.84,15.36,1,TS,,,
11-1650-22 OP,117.37,24.39,13.79,1,TS,,,
11-1650-23 OP,140,24.02,16.24,1,TS,,,
