Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-2000-22 OP,143.75,23.85,19.09,23,SR,,,
11-2002-21 OP,98.12,17.33,4.24,23,SR,,,
11-2002-22 OP,179.3,14.72,8.64,23,SR,,,
11-2002-23 OP,127.6,15.89,4.44,23,SR,,,
11-2003-23 OP,145.19,24.37,21.39,23,SR,,,
11-2004-22 OP,194.38,18.81,13.32,23,SR,,,
11-2005-21 OP,145.31,24.59,11.89,4,SR,,,
11-2005-22 OP,139.03,24.04,14.21,4,SR,,,
11-2005-23 OP,132.03,25.44,12.73,23,SR,,,
11-2006-21 OP,164.01,23.02,17.15,23,SR,,,
11-2006-23 OP,160.68,22.68,14.4,23,SR,,,
11-2007-21 OP,168.04,20.47,12.68,23,SR,,,
11-2007-22 OP,180.64,23.9,18.18,23,SR,,,
11-2007-23 OP,172.12,23.2,18.7,23,SR,,,
11-2008-21 OP,162.53,24.63,15.92,4,SR,,,
11-2008-22 OP,162.41,21.53,16.14,4,SR,,,
11-2008-23 OP,160.79,25.12,19.33,4,SR,,,
11-2009-23 OP,133.21,22.57,14.36,23,SR,,,
11-2010-22 OP,148.2,22.96,13.22,4,SR,,,
11-2011-21 OP,96.77,24.85,10.98,23,SR,,,
11-2012-21 OP,120.61,25.11,13.77,23,SR,,,
11-2013-21 OP,166.52,27.86,19.77,23,SR,,,
11-2013-22 OP,117.81,18.49,6.83,23,SR,,,
11-2014-21 OP,174,21.05,17.49,23,SR,,,
11-2014-22 OP,138.67,16.05,10.06,23,SR,curved,,
11-2014-23 OP,165.54,23.27,15.85,23,SR,,,
11-2015-22 OP,127.15,26.02,13.74,4,SR,,,
11-2016-21 OP,162.51,21.04,16.41,23,SR,,,
11-2016-22 OP,178.64,27.57,26.89,23,SR,2 cob tips,,
11-2017-22 OP,140.94,20.36,13.41,4,SR,,,
11-2018-21 OP,181.48,16.57,8.41,23,SR,,,
11-2019-21 OP,160.08,22.25,16.68,23,SR,,,
11-2019-22 OP,189.09,22.15,25.74,4,SR,,,
11-2019-23 OP,128.52,22.36,9.16,23,SR,,,
11-2022-23 OP,161.8,20.94,9.89,4,SR,,,
11-2024-21 OP,134.18,20.54,13.55,4,SR,,,
11-2024-23 OP,169.79,24.33,19.32,4,SR,,,
11-2026-21 OP,157.49,21.63,12.49,4,SR,,,
11-2027-21 OP,204.4,26.22,20.89,23,SR,,,
11-2028-22 OP,118.04,19.2,9.28,4,SR,,,
11-2030-21 OP,166.27,17.53,10.19,23,SR,,,
11-2030-22 OP,160.49,21.13,10.79,23,SR,,,
11-2030-23 OP,178.9,25.66,21.02,23,SR,,,
11-2031-21 OP,178.22,22.24,16.37,23,SR,,,
11-2031-22 OP,174.75,21.21,12.34,23,SR,,,
11-2031-23 OP,152.97,27.15,16.33,23,SR,,,
11-2032-21 OP,159.1,26.39,17.41,23,SR,,,
11-2032-23 OP,153.38,17.69,7.38,23,SR,,,
11-2033-21 OP,116.89,18.41,6.84,23,SR,,,
11-2034-21 OP,141.37,20.48,10.9,23,SR,,,
11-2034-23 OP,149.31,18.9,9.13,23,SR,,,
11-2035-22 OP,179.67,24.64,15.7,4,SR,,,
11-2036-22 OP,136.7,21.09,12.31,23,SR,,,
11-2037-21 OP,146.58,22.65,17.02,4,SR,,,
11-2037-22 OP,136.98,25.88,15.36,4,SR,,,
11-2038-21 OP,182.14,19.73,9.1,4,SR,,,
11-2038-22 OP,170.11,21.38,9,4,SR,,,
11-2038-23 OP,164.71,20.25,9.54,4,SR,,,
11-2039-23 OP,123.28,21.82,10.09,4,SR,,,
11-2043-23 OP,156.53,21.5,11.88,4,SR,,,
11-2044-22 OP,180.61,28.32,24.38,23,SR,,,
11-2045-21 OP,161.76,23.25,13.46,23,SR,,,
11-2045-22 OP,183.11,26.87,19.99,23,SR,,,
11-2045-23 OP,155.13,24.31,16.1,4,SR,,,
11-2047-22 OP,191.85,21.41,12.75,4,SR,,,
11-2047-23 OP,173.76,24.33,13.64,4,SR,,,
11-2048-21 OP,183.7,27.2,31.26,4,SR,,,
11-2048-23 OP,212.36,29.1,33.58,4,SR,,,
11-2049-21 OP,152.77,22.73,13.26,23,SR,,,
11-2049-22 OP,156.05,23.06,19.43,4,SR,,,
11-2054-21 OP,128.49,27.52,16.04,23,SR,curved tip,,
11-2059-23 OP,154.45,18.36,9.45,23,SR,,,
11-2061-22 OP,123.31,18.69,7.18,23,SR,,,
11-2062-23 OP,155,28.24,22.68,23,SR,,,
11-2063-22 OP,158.93,22.2,16.37,23,SR,,,
11-2074-22 OP,185.64,20.2,16.81,23,SR,,,
11-2091-23 OP,139.77,22.03,10.69,23,SR,curved,,
11-2093-22 OP,188.8,24.36,15.97,23,SR,,,
11-2095-21 OP,198.15,24.27,21.13,23,SR,,,
11-2097-21 OP,122.94,23.89,18.49,23,SR,,,
11-2103-22 OP,154.03,17.51,9.81,23,SR,,,
11-2108-22 OP,182.24,21.24,16.96,23,SR,,,
11-2111-23 OP,192.24,25.71,22.63,23,SR,,,
11-2118-21 OP,133.7,23.2,12.04,23,SR,,,
11-2124-22 OP,176.68,22.22,9.83,23,SR,,,
11-2126-21 OP,114.61,20.75,8.66,23,SR,,,
11-2132-21 OP,110.37,23.6,9.95,23,SR,,,
11-2137-22 OP,141.72,23.02,14.44,23,SR,,,
11-2138-22 OP,102.14,21.39,11.05,23,SR,,,
11-2158-23 OP,139.06,24.31,20.53,23,SR,,,
11-2179-23 OP,176.59,22.83,18.38,23,SR,,,
11-2183-23 OP,91.62,18.74,7.12,23,SR,,,
11-2189-21 OP,113.6,23.57,9.07,23,SR,,,
11-2192-22 OP,141.48,28.03,17.81,23,SR,,,
11-2204-23 OP,193.86,25.35,29.26,23,SR,,,
11-2215-23 OP,201.12,21.66,15.9,23,SR,,,
11-2223-21 OP,97.43,21.32,8.81,23,SR,,,
11-2223-23 OP,100.04,19.43,8.33,23,SR,,,
11-J3872-21 OP,141.25,24.1,20.19,23,SR,,,
11-J3874-23 OP,92.78,20.23,5.58,23,SR,,,
11-J3879-23 OP,14123,20.2,11.83,23,SR,,,
11-J3881-22 OP,133.09,20.26,9.89,23,SR,,,
11-J3882-23 OP,100.72,22.65,12.67,23,SR,,,
11-J4003-22 OP,125.75,21.23,12.33,23,SR,,,
11-J4003-23 OP,168.4,26.19,15.19,23,SR,,,
11-J4010-23 OP,147.27,23.85,16.52,23,SR,,,
11-J4015-21 OP,132.63,20.71,14.19,23,SR,,,
11-J4018-21 OP,115.62,26.23,9.7,23,SR,,,
11-J4021-22 OP,118.56,22.72,10.15,23,SR,,,
11-J4022-23 OP,176.45,20.09,15.86,23,SR,,,
11-J4023-21 OP,127.53,19.18,10.68,23,SR,,,
11-J4024-22 OP,105.8,22.04,12.44,23,SR,,,
11-J4025-21 OP,170.53,22.83,17.61,23,SR,curved,,
11-J4026-22 OP,180,20.59,16.35,23,SR,,,
11-J4032-22 OP,111.85,17.01,7.58,23,SR,,,
11-J4034-22 OP,171.72,20.44,13.96,23,SR,,,
11-J4058-23 OP,126.31,23.28,15.6,23,SR,,,
11-J4059-21 OP,166.61,28.62,33.46,23,SR,,,
11-J4061-21 OP,72.62,19.86,6.46,23,SR,,,
11-J4062-21 OP,139.37,25.21,12.58,23,SR,,,
11-J4064-23 OP,151.65,28.1,15.37,23,SR,,,
11-J4066-22 OP,133.09,20.03,9.9,23,SR,,,
11-J4073-21 OP,134.7,23.35,10.33,23,SR,,,
11-J4076-21 OP,138.36,24.9,11.55,23,SR,,,
